-DOCSTART- -X- -X- O
max NN I-NP O
P NNP I-NP O
( NNP I-NP O
AI NNP I-NP O
W NNP I-NP O
) NNP I-NP O
Pr NNP I-NP O
( NNP I-NP O
W NNP I-NP O
) NNP O O
where WRB O O
W NNP B-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
string NN I-NP I-DEF
of IN B-PP I-DEF
words NNS B-NP I-DEF
, , O I-DEF
wl NN B-NP I-DEF
, , O I-DEF
... : O I-DEF
, , O I-DEF
wn NN O I-DEF
, , O O
and CC O O
A DT B-NP B-TERM
is VBZ B-VP O
the DT O B-DEF
acoustic JJ O I-DEF
evidence NN O I-DEF
( : B-PP O
Jelinek NNP O O
1998 CD O O
) CD O O
. . O O

Our PRP$ B-NP O
work NN I-NP O
exploits NNS B-VP O
chunking VBG I-VP O
in IN B-PP O
two CD B-NP O
principal JJ I-NP O
ways NNS I-NP O
. . O O

We PRP B-NP O
will MD B-VP O
use VB I-VP O
the DT B-NP O
artificial JJ I-NP O
dataset NN I-NP O
given VBN B-VP O
in IN B-PP O
Fig NNP B-NP O
4 CD I-NP O
which WDT I-NP O
displays NNS B-VP O
4 CD B-NP O
different JJ I-NP O
patterns NNS I-NP O
of IN B-PP O
gap NN B-NP O
threading VBG I-NP O
. . O O

The DT B-NP O
second JJ I-NP O
56 CD I-NP O
measure NN I-NP O
is VBZ B-VP O
the DT B-NP O
probability NN I-NP O
of IN B-PP O
correct NN B-NP O
classification NN I-NP O
. . O O

2 LS B-NP O
• `` I-NP O
Given NNP B-VP O
an DT B-NP O
activated JJ I-NP O
concept NN I-NP O
, , O O
which WDT B-NP O
more JJR I-NP O
general JJ I-NP O
lexical JJ I-NP O
items NNS I-NP O
are VBP B-VP O
considered VBN I-VP O
in IN B-PP O
tile JJ B-NP O
choice NN I-NP O
process NN I-NP O
; : O O
are VBP B-VP O
there RB I-VP O
any DT B-NP O
restrictions NNS I-NP O
on IN B-PP O
.-lexical JJ B-NP O
inheritance NN I-NP O
? . O O

Our PRP$ B-NP O
system NN I-NP O
, , O O
SNS NNP B-NP B-TERM
( NNP I-NP O
pronounced VBD B-VP O
`` `` O O
essence NN B-NP O
`` `` I-NP O
) : I-NP O
, , O O
retrieves NNS B-VP B-DEF
documents NNS B-NP I-DEF
related VBN B-VP I-DEF
to TO B-PP I-DEF
an DT B-NP I-DEF
unrestricted JJ I-NP I-DEF
user NN I-NP I-DEF
query NN I-NP I-DEF
and CC O I-DEF
summarizes VBZ B-VP I-DEF
a DT B-NP I-DEF
subset NN I-NP I-DEF
of IN B-PP I-DEF
them PRP B-NP I-DEF
as IN O I-DEF
selected VBN B-VP I-DEF
by IN B-PP I-DEF
the DT B-NP I-DEF
user NN I-NP I-DEF
. . O O

The DT B-NP O
only JJ I-NP O
consideration NN I-NP O
is VBZ B-VP O
the DT B-NP O
computation NN I-NP O
of IN B-PP O
the DT B-NP O
chain NN I-NP O
score NN I-NP O
. . O O

Then RB O O
: : O O
we PRP B-NP O
hypothesize VBP B-VP O
that IN O O
if IN O O
word NN B-NP O
i PRP I-NP O
is VBZ B-VP O
a DT B-NP O
33 CD I-NP O
( CD I-NP O
H NNP I-NP O
) NNP I-NP O
. . I-NP O
x NN I-NP O
x NN I-NP O
I PRP I-NP O
. . O O
~e JJ O O
. . B-NP O
nt NN I-NP O
! . O O
e_ve NNP B-VP O
[ NNP O O
. . O O

' POS B-NP O
Accuracy NNP I-NP O
' POS O O
in IN B-PP O
Table NNP B-NP O
1 CD I-NP O
is VBZ B-VP O
the DT B-NP O
total JJ I-NP O
average NN I-NP O
ratio NN I-NP O
. . O O

The DT B-NP O
input NN I-NP O
is VBZ B-VP O
the DT B-NP O
set NN I-NP O
of IN B-PP O
story NN B-NP O
sentences NNS I-NP O
and CC I-NP O
questions NNS I-NP O
, , O O
such JJ B-PP O
that IN I-PP O
the DT B-NP O
words NNS I-NP O
in IN B-PP O
each DT B-NP O
are VBP B-VP O
tagged VBN I-VP O
with IN B-PP O
POS NNP B-NP O
tags NNS I-NP O
and CC O O
the DT B-NP O
names NNS I-NP O
are VBP B-VP O
marked VBN I-VP O
with IN B-PP O
type NN B-NP O
and CC I-NP O
gender NN I-NP O
information NN I-NP O
. . O O

Since IN O O
indicative JJ B-NP O
summaries NNS I-NP O
alert NN I-NP O
users NNS I-NP O
to TO B-VP O
document VB I-VP O
content NN B-NP O
, , O O
any DT B-NP O
measure NN I-NP O
that IN I-NP O
evaluates NNS B-VP O
the DT B-NP O
quality NN I-NP O
of IN B-PP O
an DT B-NP O
indicative JJ I-NP O
summary NN I-NP O
ought MD B-VP O
to TO I-VP O
consider VB I-VP O
the DT B-NP O
similarity NN I-NP O
of IN B-PP O
the DT B-NP O
content NN I-NP O
of IN B-PP O
the DT B-NP O
summary NN I-NP O
to TO B-PP O
the DT O O
content NN O O
of IN B-PP O
the DT O O
full JJ O O
document NN O O
. . O O

For IN B-PP O
ANFIS NNP B-NP O
, , O O
the DT B-NP O
set NN I-NP O
of IN B-PP O
sentence-question NN B-NP O
pairs NNS I-NP O
was VBD B-VP O
divided VBN I-VP O
into IN B-PP O
five CD B-NP O
groups NNS I-NP O
according VBG B-VP O
to TO B-PP O
question NN B-NP O
type NN I-NP O
. . O O

For IN B-PP O
example NN B-NP O
, , O O
if IN O O
a DT B-NP O
sentence NN I-NP O
mentioning VBG B-VP O
a DT B-NP O
new JJ I-NP O
entity NN I-NP O
is VBZ B-VP O
included VBN I-VP O
in IN B-PP O
a DT B-NP O
summary NN I-NP O
, , O O
one CD B-NP O
might MD B-VP O
also RB I-VP O
want VB I-VP O
to TO I-VP O
include VB I-VP O
a DT B-NP O
sentence NN I-NP O
that WDT I-NP O
puts VBZ B-VP O
the DT B-NP O
entity NN I-NP O
in IN B-PP O
the DT B-NP O
context NN I-NP O
of IN B-PP O
the DT O O
re§t JJ O O
of IN B-PP O
the DT O O
article NN O O
or CC O O
cluster NN O O
. . O O

Regardless NN O O
of IN B-PP O
this DT B-NP O
, , O O
there EX B-NP O
is VBZ B-VP O
a DT B-NP O
ceiling NN I-NP O
on IN B-PP O
the DT B-NP O
performance NN I-NP O
of IN B-PP O
these DT B-NP O
systems NNS I-NP O
at IN B-PP O
around IN B-NP O
80 CD I-NP O
% NN I-NP O
token NN I-NP O
recall. NNP I-NP O
Where NNP B-PP O
token NN B-NP B-TERM
recall NN I-NP I-TERM
is VBZ B-VP O
the DT B-NP B-DEF
percentage NN I-NP I-DEF
of IN B-PP I-DEF
SCF NNP B-NP I-DEF
tokens NNS I-NP I-DEF
in IN B-PP I-DEF
a DT O I-DEF
sample NN O I-DEF
of IN B-PP I-DEF
manually RB O I-DEF
analysed VBN O I-DEF
text NN O I-DEF
that IN O I-DEF
were VBD B-VP I-DEF
The DT O I-DEF
approaches NNS O I-DEF
to TO B-PP I-DEF
extracting VBG O I-DEF
SCF NNP O I-DEF
information NN O I-DEF
from IN O I-DEF
corpora NN O I-DEF
have VBP B-VP I-DEF
frequently RB I-VP I-DEF
employed VBN I-VP I-DEF
statistical JJ O I-DEF
methods NNS O I-DEF
for IN O I-DEF
filtering VBG O I-DEF
. . O O

The DT B-NP O
unconditional JJ I-NP O
distribution NN I-NP O
obtained VBD B-VP O
from IN B-PP O
the DT B-NP O
observed VBN I-NP O
distribution NN I-NP O
of IN B-PP O
SCFs NNP B-NP O
in IN B-PP O
the DT B-NP O
20 CD I-NP O
M NNP I-NP O
words NNS I-NP O
of IN B-PP O
BNC NNP B-NP O
is VBZ B-VP O
shown VBN I-VP O
in IN B-PP O
figure NN B-NP O
2 CD I-NP O
. . O O

We PRP B-NP O
observed VBD B-VP O
the DT B-NP O
conversations NNS I-NP O
of IN B-PP O
users NNS B-NP O
and CC O O
TAs NNP B-VP O
in IN B-PP O
the DT B-NP O
CIMS NNP I-NP O
computer NN I-NP O
rooms NNS I-NP O
by IN B-PP O
recording VBG B-NP O
and CC I-NP O
transcription NN I-NP O
( : I-NP O
20 CD I-NP O
hours NNS I-NP O
observation NN I-NP O
; : O O
1.5 CD B-NP O
hours NNS I-NP O
recording VBG B-VP O
) : B-NP O
. . O O

The DT B-NP O
discourse NN I-NP O
structure NN I-NP O
determined VBD B-VP O
accentuation NN B-NP O
, , O O
with IN B-PP O
deaccenting NN B-NP O
of IN B-PP O
discourse-old JJ B-NP O
entities NNS I-NP O
realized VBD B-VP O
( CD I-VP O
by IN B-PP O
lexically RB B-VP O
identical JJ B-NP O
morphs NNS I-NP O
) : B-VP O
in IN B-PP O
the DT B-NP O
current JJ I-NP O
or CC I-NP O
previous JJ I-NP O
discourse NN I-NP O
segment NN I-NP O
. . O O

NPs NNS B-NP O
have VBP B-VP O
the DT B-NP O
feature NN I-NP O
types NNS I-NP O
: : O O
Base NNP B-NP B-TERM
( : O O
the DT B-NP B-DEF
root NN I-NP I-DEF
word NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
head NN I-NP I-DEF
word NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
NP NNP I-NP I-DEF
) NNP I-NP O
, , O O
AGR NNP B-NP B-TERM
( NNP I-NP O
number/person NNP I-NP B-DEF
information NN I-NP I-DEF
) : I-NP O
, , O O
SemType NNP B-NP B-TERM
( NNP O O
the DT B-NP B-DEF
semtype NN I-NP I-DEF
of IN B-PP I-DEF
the DT O I-DEF
root NN O I-DEF
form NN O I-DEF
in IN B-PP I-DEF
the DT O I-DEF
lexicon NN O I-DEF
, , O I-DEF
e NN O I-DEF
. . O I-DEF
g NN O I-DEF
. . O I-DEF
, , O I-DEF
person NN O I-DEF
, , O I-DEF
object NN B-VP I-DEF
, , O I-DEF
event NN O I-DEF
, , O I-DEF
artifact NN O I-DEF
, , O I-DEF
organization NN O I-DEF
) : O O
, , O O
Label NNP O B-TERM
( NNP B-VP O
the DT O B-DEF
role NN O I-DEF
type NN O I-DEF
of IN B-PP I-DEF
the DT O I-DEF
word NN O I-DEF
in IN B-PP I-DEF
the DT O I-DEF
sentence NN O I-DEF
, , O I-DEF
e NN O I-DEF
. . O I-DEF
g NN O I-DEF
. . O I-DEF
, , O I-DEF
subject JJ O I-DEF
) NN O O
, , O O
and CC O O
Gender NNP O O
. . O O

For IN B-PP O
example NN B-NP O
, , O O
a DT B-NP O
CORELEX NNP I-NP B-TERM
class NN I-NP I-TERM
AQU NNP I-NP I-TERM
( NNP O O
which WDT B-NP O
represents VBZ B-VP B-DEF
a DT B-NP I-DEF
relation NN I-NP I-DEF
between IN B-PP I-DEF
ARTIFACT NNP B-NP I-DEF
and CC I-NP I-DEF
QUANTITY NNP I-NP I-DEF
) NNP I-NP O
contains VBZ B-VP O
words NNS B-NP O
such JJ B-PP O
as IN I-PP O
`` `` O O
bottle NN B-NP O
'' '' O O
, , O O
`` `` O O
bucket NN B-NP O
'' '' O O
and CC O O
`` `` O O
spoon NN B-NP O
'' '' O O
. . O O

Also RB O O
Kanji NNP B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
kind NN I-NP I-DEF
of IN B-PP I-DEF
ideogram NN B-NP I-DEF
and CC O I-DEF
each DT B-NP I-DEF
character NN I-NP I-DEF
has VBZ B-VP I-DEF
its PRP$ B-NP I-DEF
own JJ I-NP I-DEF
meaning NN I-NP I-DEF
. . O O

The DT B-NP O
descriptions NNS I-NP O
are VBP B-VP O
as RB O O
follows VBZ B-VP O
: : O O
Dependency NNP B-NP O
~ : I-NP O
[ : B-VP O
patient NN B-NP O
] : B-VP O
< : B-NP O
- : O O
: : B-VP O
~_~ JJ B-NP O
- : O O
[ : B-NP O
agent NN I-NP O
] : I-NP O
~ : I-NP O
[ : B-VP O
] : B-NP O
relations NNS I-NP O
: : O O
Definitions NNS B-NP O
: : O O
~ : B-NP O
: : O O
medicinel~ JJ O O
: : O O
jqe~J JJ O O
, , O O
? . O O
addictivel~ -NONE- B-VP O
~.L JJ O O
: : O O
transportl~l_I~ JJ O O
, , O O
manner= JJ O O
secretly RB O O
, , O O
crimel~l~ NNP O O
~ NNP O O
[ NNP O O
] NNP O O
: : O O
communityl NN O O
[ : O O
] : O O
~ : O O
In IN B-PP O
this DT O O
example NN O O
, , O O
the DT O O
descriptions NNS O O
specify VBP B-VP O
that IN B-PP O
a DT O O
'community NN O O
'' '' O O
is VBZ B-VP O
an DT O O
agent NN O O
involved VBN O O
in IN B-PP O
a DT O O
'transport JJ O O
' '' O O
event NN O O
transporting VBG O O
the DT O O
patient NN O O
`` `` O O
medicine NN O O
' '' O O
. . O O

Third JJ O O
, , O O
we PRP B-NP O
present VBP B-VP O
some DT B-NP O
of IN B-PP O
our PRP$ B-NP O
current JJ I-NP O
primitives NNS I-NP O
, , O O
and CC O O
finally RB O O
, , O O
we PRP B-NP O
describe VBP B-VP O
the DT B-NP O
dialogue NN I-NP B-TERM
engine NN I-NP I-TERM
and CC O O
how WRB O O
it PRP B-NP O
uses VBZ B-VP B-DEF
the DT B-NP I-DEF
application NN I-NP I-DEF
description NN I-NP I-DEF
and CC O I-DEF
other JJ B-NP I-DEF
sources NNS I-NP I-DEF
to TO B-VP I-DEF
calculate VB I-VP I-DEF
dialogue NN B-NP I-DEF
primitives NNS I-NP I-DEF
. . O O

1 LS B-NP O
phrase NN I-NP O
structure NN I-NP O
SOC NNP I-NP O
Fig NNP I-NP O
. . O O
2 CD B-NP O
dependency NN I-NP O
structure NN I-NP O
I PRP I-NP O
This DT I-NP O
work NN I-NP O
was VBD B-VP O
mainly RB I-VP O
done VBN I-VP O
while IN O O
the DT B-NP O
author NN I-NP O
visited VBD B-VP O
Kodensha NNP B-NP O
Ltd NNP I-NP O
, , O O
Japan NNP B-NP O
during IN B-PP O
1996 CD B-NP O
. . O O
-1999 -NONE- B-VP O
78 CD B-NP O
Sentence-1 -NONE- I-NP O
is VBZ B-VP O
a DT O O
pivot NN O O
sentence NN O O
( : O O
~gd JJ O O
' '' O O
f~3 -NONE- O O
) : O O
, , O O
i.e. NNP O O
, , O O
`` `` O O
~1~ JJ O O
`` `` O O
is VBZ B-VP O
not RB O O
only RB O O
the DT O O
object NN O O
of IN B-PP O
`` `` O O
i PRP O O
, , O O
W NNP O O
`` `` O O
butalso RB O O
the DT O O
subject NN O O
of IN B-PP O
`` `` O O
Ik~ JJ O O
`` `` O O
. . O O

Sahami NNP B-NP O
and CC O O
others NNS B-NP O
( : B-VP O
1998 CD B-NP O
) CD I-NP O
propose NN B-VP O
the DT B-NP O
utilization NN I-NP O
of IN B-PP O
a DT B-NP O
Naive NNP I-NP O
Bayes NNP I-NP O
classifier NN I-NP O
based VBN B-VP O
on IN B-PP O
the DT B-NP O
words NNS I-NP O
and CC O O
a DT B-NP O
set NN I-NP O
of IN B-PP O
manually RB B-NP O
derived VBN I-NP O
heuristics NNS I-NP O
for IN B-PP O
UCE NNP B-NP O
filtering VBG I-NP O
, , O O
showing VBG B-VP O
that IN O O
the DT O O
heuristics NNS O O
improve VBP B-VP O
the DT O O
effectiveness NN O O
of IN B-PP O
the DT O O
classifier NN O O
. . O O

The DT B-NP O
German NNP I-NP B-TERM
Verbmobil NNP I-NP I-TERM
corpus VBZ I-NP I-TERM
( : I-NP O
Stegmann NNP I-NP O
et NN I-NP O
al. NNP I-NP O
, , O O
1998 CD B-NP O
; : O O
Hinrichs NNP B-NP O
et NN I-NP O
al. NNP O O
, , O O
2000 CD B-NP O
) : I-NP O
is VBZ B-VP O
a DT B-NP B-DEF
treebank NN I-NP I-DEF
annotated VBN B-VP I-DEF
at IN B-PP I-DEF
the DT B-NP I-DEF
University NNP I-NP I-DEF
of IN B-PP I-DEF
Tiibingen NNP B-NP I-DEF
SIMPX NNP I-NP O
I NNP I-NP O
VF NNP O O
! . O O

The DT B-NP O
field NN I-NP O
of IN B-PP O
information NN B-NP B-TERM
retrieval NN I-NP I-TERM
( : O O
IR NNP B-NP B-TERM
) : I-NP O
is VBZ B-VP O
the DT B-NP O
traditional JJ I-NP O
discipline NN I-NP O
that WDT I-NP O
addresses VBZ B-VP O
this DT B-NP O
problem NN I-NP O
. . O O

C NNP B-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
current JJ I-NP I-DEF
hypothesis NN I-NP I-DEF
. . O O

This DT B-NP O
paper NN I-NP O
proposes VBZ B-VP O
a DT B-NP O
dialogue NN I-NP O
helpsystem NN I-NP O
in IN B-PP O
which WDT B-NP O
natural JJ I-NP O
language NN I-NP O
knowledge NN I-NP O
base NN I-NP O
is VBZ B-VP O
not RB I-VP O
only RB I-VP O
used VBN I-VP O
for IN B-PP O
one CD B-NP O
time NN I-NP O
response NN I-NP O
, , O O
but CC O O
also RB O O
for IN B-PP O
conducting VBG B-VP O
a DT B-NP O
conversation NN I-NP O
. . O O

The DT B-NP O
F-measure JJ I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
balanced VBN I-NP I-DEF
score NN I-NP I-DEF
of IN B-PP I-DEF
precision NN B-NP I-DEF
and CC I-NP I-DEF
recall NN I-NP I-DEF
, , O I-DEF
calculated VBD B-VP I-DEF
as IN O I-DEF
follows NNS B-VP I-DEF
: : O I-DEF
2 CD B-NP I-DEF
* -NONE- I-NP I-DEF
precision NN I-NP I-DEF
* -NONE- I-NP I-DEF
recall VB I-NP I-DEF
`` `` O I-DEF
F-measure JJ O I-DEF
= NN O I-DEF
precision NN B-NP I-DEF
+ : I-NP I-DEF
recall NN I-NP I-DEF
Figures NNS I-NP O
4 CD I-NP O
and CC I-NP O
5 CD I-NP O
show NN I-NP O
that WDT O O
the DT B-NP O
phraserepresented VBD I-NP O
summary JJ I-NP O
( NN I-NP O
C NNP I-NP O
) NNP I-NP O
presents NNS B-VP O
the DT B-NP O
highest JJS I-NP O
performance NN I-NP O
. . O O

Adding VBG B-VP O
redundancy NN B-NP O
to TO B-PP O
a DT B-NP O
signal NN I-NP O
before IN B-PP O
transmission NN B-NP O
is VBZ B-VP O
a DT B-NP O
well-known JJ I-NP O
technique NN I-NP O
in IN B-PP O
digital JJ B-NP O
communication NN I-NP O
to TO B-VP O
allow VB I-VP O
for IN B-PP O
the DT B-NP O
recovery NN I-NP O
of IN B-PP O
errors NNS B-NP O
due JJ O O
to TO B-PP O
noise VB B-NP O
in IN B-PP O
the DT B-NP O
channel NN I-NP O
, , O O
and CC O O
this DT O O
is VBZ B-VP O
the DT O O
key JJ O O
to TO B-PP O
the DT O O
success NN O O
of IN B-PP O
ECOC NNP O O
. . O O

Issues NNS B-NP O
of IN B-PP O
evaluation NN B-NP O
have VBP B-VP O
been VBN I-VP O
pre-eminent JJ O O
in IN B-PP O
MT NNP B-NP O
since IN B-PP O
its PRP$ B-NP O
beginning NN I-NP O
, , O O
yet CC O O
there EX B-NP O
are VBP B-VP O
no DT B-NP O
measures NNS I-NP O
or CC I-NP O
metrics NNS I-NP O
which WDT I-NP O
are VBP B-VP O
universally RB I-VP O
accepted VBN I-VP O
as IN B-PP O
standard JJ B-NP O
or CC I-NP O
adequate JJ I-NP O
. . O O

Though IN O O
the DT B-NP O
analysis NN I-NP O
complexity NN I-NP O
can MD B-VP O
be VB I-VP O
reduced VBN I-VP O
by IN B-PP O
segmenting NN B-VP O
a DT B-NP O
sentence NN I-NP O
, , O O
there EX B-NP O
is VBZ B-VP O
a DT B-NP O
mis-segmentation NN I-NP O
risk NN I-NP O
that WDT I-NP O
causes VBZ B-VP O
parsing VBG B-NP O
failures NNS I-NP O
. . O O

Thus RB O O
, , O O
a DT B-NP O
treecut NN I-NP B-TERM
corresponds VBZ I-NP O
to TO B-PP O
one CD B-NP B-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
levels NNS I-NP I-DEF
of IN B-PP I-DEF
abstraction NN B-NP I-DEF
in IN B-PP I-DEF
the DT B-NP I-DEF
tree NN I-NP I-DEF
. . O O

A DT B-NP O
Comparison NNP I-NP O
of IN B-PP O
Rankings NNP B-NP O
Produced NNP I-NP O
by IN B-PP O
Summarization NNP B-NP O
Evaluation NNP I-NP O
Measures NNP I-NP O
Robert NNP I-NP O
L. NNP I-NP O
Donaway NNP I-NP O
Department NNP I-NP O
of IN B-PP O
Defense NNP B-NP O
9800 CD I-NP O
Savage NNP I-NP O
Rd NNP I-NP O
. . O O

This DT B-NP O
scanning NN I-NP O
task NN I-NP O
is VBZ B-VP O
one CD B-NP O
of IN B-PP O
many JJ B-NP O
jobs NNS I-NP O
an DT I-NP O
analyst NN I-NP O
performs VBZ B-VP O
to TO I-VP O
support VB I-VP O
report NN B-NP O
writing VBG B-VP O
for IN B-PP O
customers NNS B-NP O
in IN B-PP O
other JJ B-NP O
Government NN I-NP O
agencies NNS I-NP O
. . O O

By IN B-PP O
showing NN B-VP O
incremental NN B-NP O
addition NN I-NP O
of IN B-PP O
domain NN B-NP O
specification NN I-NP O
within IN B-PP O
the DT B-NP O
ILEX NNP I-NP O
system NN I-NP O
, , O O
we PRP B-NP O
have VBP B-VP O
demonstrated VBN I-VP O
that IN O O
it PRP B-NP O
is VBZ B-VP O
a DT B-NP O
system NN I-NP O
which WDT I-NP O
can MD B-VP O
function NN I-VP O
with IN B-PP O
varying VBG B-VP O
degrees NNS B-NP O
of IN B-PP O
information NN B-NP O
. . O O

Table JJ B-NP O
1 CD I-NP O
) CD I-NP O
, , O O
RBM NNP B-NP O
' POS O O
s NNS B-VP O
classification NN B-NP O
is VBZ B-VP O
very RB O O
speedy JJ O O
. . O O

Its PRP$ B-NP O
main JJ I-NP O
strength NN I-NP O
lies NNS B-VP O
on IN B-PP O
the DT B-NP O
development NN I-NP O
of IN B-PP O
the DT B-NP O
UNL NNP I-NP B-TERM
, , O O
as IN B-PP O
a DT B-NP B-DEF
unique JJ I-NP I-DEF
semantic JJ I-NP I-DEF
( NN I-NP I-DEF
or CC I-NP I-DEF
meaning VBG I-NP I-DEF
) CD O I-DEF
representation NN B-NP I-DEF
that WDT I-NP I-DEF
can MD B-VP I-DEF
be VB I-VP I-DEF
interchanged VBN I-VP I-DEF
with IN B-PP I-DEF
the DT B-NP I-DEF
various JJ I-NP I-DEF
languages NNS I-NP I-DEF
to TO B-VP I-DEF
be VB I-VP I-DEF
integrated VBN I-VP I-DEF
in IN B-PP I-DEF
the DT B-NP I-DEF
KBMT NNP I-NP I-DEF
system NN I-NP I-DEF
. . O O

We PRP B-NP O
presented VBD B-VP O
a DT B-NP O
new JJ I-NP O
approach NN I-NP O
to TO B-PP O
content NN B-NP O
aggregation NN I-NP O
in IN B-PP O
the DT B-NP O
context NN I-NP O
of IN B-PP O
a DT B-NP O
very RB I-NP O
challenging VBG I-NP O
and CC I-NP O
practical JJ I-NP O
generation NN I-NP O
application NN I-NP O
: : O O
summarizing VBG B-VP O
OLAP NNP B-NP O
and CC I-NP O
data NNS I-NP O
mining VBG I-NP O
discoveries NNS I-NP O
13t CD B-VP O
as IN B-PP O
a DT B-NP O
few JJ I-NP O
linked VBN I-NP O
web NN I-NP O
pages NNS I-NP O
of IN B-PP O
fluent NN B-NP O
and CC I-NP O
concise VB I-NP O
natural JJ I-NP O
language NN I-NP O
. . O O

Xia NNP B-NP O
( : I-NP O
1999 CD I-NP O
) CD O O
describes NNS B-VP O
a DT B-NP O
similar JJ I-NP O
process NN I-NP O
, , O O
and CC O O
in IN B-PP O
fact NN B-NP O
our PRP$ I-NP O
rules NNS I-NP O
for IN B-PP O
the DT B-NP O
Xinhua NNP I-NP O
corpus VBZ I-NP O
are VBP B-VP O
based VBN I-VP O
on IN B-PP O
hers NNS B-NP O
. . O O

WordNet NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
lexical JJ I-NP I-DEF
ontology NN B-PP I-DEF
a DT B-NP I-DEF
variant NN I-NP I-DEF
on IN B-PP I-DEF
semantic JJ B-NP I-DEF
networks NNS I-NP I-DEF
with IN B-PP I-DEF
more JJR B-NP I-DEF
of IN B-PP I-DEF
a DT B-NP I-DEF
hierarchical JJ I-NP I-DEF
structure NN I-NP I-DEF
, , O O
even RB O O
though IN O O
some DT B-NP O
of IN B-PP O
the DT B-NP O
nodes NNS I-NP O
can MD B-VP O
have VB I-VP O
multiple NNS B-NP O
parents NNS I-NP O
that IN O O
was VBD B-VP O
manually RB I-VP O
constructed VBN I-VP O
for IN B-PP O
the DT O O
English NNP O O
language NN O O
. . O O

FERGUS NNP B-NP B-TERM
currently RB O O
can MD B-VP O
perform VB I-VP B-DEF
punctuation NN B-NP I-DEF
and CC O I-DEF
function NN B-VP I-DEF
