-DOCSTART- -X- -X- O
next IN B-PP O
to TO I-PP O
the DT B-NP O
open JJ I-NP O
bracket NN I-NP O
denotes NNS B-VP O
the DT B-NP O
type NN I-NP O
of IN B-PP O
the DT B-NP O
chunk NN I-NP O
. . O O

We PRP B-NP O
observed VBD B-VP O
the DT B-NP O
conversations NNS I-NP O
of IN B-PP O
users NNS B-NP O
and CC O O
TAs NNP B-VP O
in IN B-PP O
the DT B-NP O
CIMS NNP I-NP O
computer NN I-NP O
rooms NNS I-NP O
by IN B-PP O
recording VBG B-NP O
and CC I-NP O
transcription NN I-NP O
( : I-NP O
20 CD I-NP O
hours NNS I-NP O
observation NN I-NP O
; : O O
1.5 CD B-NP O
hours NNS I-NP O
recording VBG B-VP O
) : B-NP O
. . O O

Reductio NNP B-NP O
ad VBD I-NP O
absurdum NN I-NP O
assumes NNS B-VP O
the DT B-NP O
negation NN I-NP O
of IN B-PP O
the DT B-NP O
goal NN I-NP O
, , O O
leading VBG B-PP O
to TO I-PP O
an DT B-NP O
argulnent NN I-NP O
which WDT I-NP O
results NNS B-VP O
in IN B-PP O
a DT B-NP O
contradiction NN I-NP O
with IN B-PP O
a DT B-NP O
believed JJ I-NP O
premise NN I-NP O
and CC O O
requires VBZ B-VP O
the DT B-NP O
assertion NN I-NP O
of IN B-PP O
the DT B-NP O
Premise NNP I-NP O
to TO B-PP O
goal NN O O
: : O O
Corrective JJ O O
lenses NNS O O
are VBP B-VP O
required VBN I-VP O
. . O O

The DT B-NP O
discourse NN I-NP O
structure NN I-NP O
determined VBD B-VP O
accentuation NN B-NP O
, , O O
with IN B-PP O
deaccenting NN B-NP O
of IN B-PP O
discourse-old JJ B-NP O
entities NNS I-NP O
realized VBD B-VP O
( CD I-VP O
by IN B-PP O
lexically RB B-VP O
identical JJ B-NP O
morphs NNS I-NP O
) : B-VP O
in IN B-PP O
the DT B-NP O
current JJ I-NP O
or CC I-NP O
previous JJ I-NP O
discourse NN I-NP O
segment NN I-NP O
. . O O

NPs NNS B-NP O
have VBP B-VP O
the DT B-NP O
feature NN I-NP O
types NNS I-NP O
: : O O
Base NNP B-NP B-TERM
( : O O
the DT B-NP B-DEF
root NN I-NP I-DEF
word NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
head NN I-NP I-DEF
word NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
NP NNP I-NP I-DEF
) NNP I-NP O
, , O O
AGR NNP B-NP B-TERM
( NNP I-NP O
number/person NNP I-NP B-DEF
information NN I-NP I-DEF
) : I-NP O
, , O O
SemType NNP B-NP B-TERM
( NNP O O
the DT B-NP B-DEF
semtype NN I-NP I-DEF
of IN B-PP I-DEF
the DT O I-DEF
root NN O I-DEF
form NN O I-DEF
in IN B-PP I-DEF
the DT O I-DEF
lexicon NN O I-DEF
, , O I-DEF
e NN O I-DEF
. . O I-DEF
g NN O I-DEF
. . O I-DEF
, , O I-DEF
person NN O I-DEF
, , O I-DEF
object NN B-VP I-DEF
, , O I-DEF
event NN O I-DEF
, , O I-DEF
artifact NN O I-DEF
, , O I-DEF
organization NN O I-DEF
) : O O
, , O O
Label NNP O B-TERM
( NNP B-VP O
the DT O B-DEF
role NN O I-DEF
type NN O I-DEF
of IN B-PP I-DEF
the DT O I-DEF
word NN O I-DEF
in IN B-PP I-DEF
the DT O I-DEF
sentence NN O I-DEF
, , O I-DEF
e NN O I-DEF
. . O I-DEF
g NN O I-DEF
. . O I-DEF
, , O I-DEF
subject JJ O I-DEF
) NN O O
, , O O
and CC O O
Gender NNP O O
. . O O

For IN B-PP O
example NN B-NP O
, , O O
a DT B-NP O
CORELEX NNP I-NP B-TERM
class NN I-NP I-TERM
AQU NNP I-NP I-TERM
( NNP O O
which WDT B-NP O
represents VBZ B-VP B-DEF
a DT B-NP I-DEF
relation NN I-NP I-DEF
between IN B-PP I-DEF
ARTIFACT NNP B-NP I-DEF
and CC I-NP I-DEF
QUANTITY NNP I-NP I-DEF
) NNP I-NP O
contains VBZ B-VP O
words NNS B-NP O
such JJ B-PP O
as IN I-PP O
`` `` O O
bottle NN B-NP O
'' '' O O
, , O O
`` `` O O
bucket NN B-NP O
'' '' O O
and CC O O
`` `` O O
spoon NN B-NP O
'' '' O O
. . O O

Also RB O O
Kanji NNP B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
kind NN I-NP I-DEF
of IN B-PP I-DEF
ideogram NN B-NP I-DEF
and CC O I-DEF
each DT B-NP I-DEF
character NN I-NP I-DEF
has VBZ B-VP I-DEF
its PRP$ B-NP I-DEF
own JJ I-NP I-DEF
meaning NN I-NP I-DEF
. . O O

The DT B-NP O
descriptions NNS I-NP O
are VBP B-VP O
as RB O O
follows VBZ B-VP O
: : O O
Dependency NNP B-NP O
~ : I-NP O
[ : B-VP O
patient NN B-NP O
] : B-VP O
< : B-NP O
- : O O
: : B-VP O
~_~ JJ B-NP O
- : O O
[ : B-NP O
agent NN I-NP O
] : I-NP O
~ : I-NP O
[ : B-VP O
] : B-NP O
relations NNS I-NP O
: : O O
Definitions NNS B-NP O
: : O O
~ : B-NP O
: : O O
medicinel~ JJ O O
: : O O
jqe~J JJ O O
, , O O
? . O O
addictivel~ -NONE- B-VP O
~.L JJ O O
: : O O
transportl~l_I~ JJ O O
, , O O
manner= JJ O O
secretly RB O O
, , O O
crimel~l~ NNP O O
~ NNP O O
[ NNP O O
] NNP O O
: : O O
communityl NN O O
[ : O O
] : O O
~ : O O
In IN B-PP O
this DT O O
example NN O O
, , O O
the DT O O
descriptions NNS O O
specify VBP B-VP O
that IN B-PP O
a DT O O
'community NN O O
'' '' O O
is VBZ B-VP O
an DT O O
agent NN O O
involved VBN O O
in IN B-PP O
a DT O O
'transport JJ O O
' '' O O
event NN O O
transporting VBG O O
the DT O O
patient NN O O
`` `` O O
medicine NN O O
' '' O O
. . O O

The DT B-NP O
new JJ I-NP O
algorithm NN I-NP O
currently RB O O
does VBZ B-VP O
not RB I-VP O
use VB I-VP O
information NN B-NP O
93 CD I-NP O
about IN B-PP O
the DT B-NP O
orthography NN I-NP O
of IN B-PP O
the DT B-NP O
word NN I-NP O
, , O O
an DT B-NP O
important JJ I-NP O
source NN I-NP O
of IN B-PP O
information NN B-NP O
. . O O

Third JJ O O
, , O O
we PRP B-NP O
present VBP B-VP O
some DT B-NP O
of IN B-PP O
our PRP$ B-NP O
current JJ I-NP O
primitives NNS I-NP O
, , O O
and CC O O
finally RB O O
, , O O
we PRP B-NP O
describe VBP B-VP O
the DT B-NP O
dialogue NN I-NP B-TERM
engine NN I-NP I-TERM
and CC O O
how WRB O O
it PRP B-NP O
uses VBZ B-VP B-DEF
the DT B-NP I-DEF
application NN I-NP I-DEF
description NN I-NP I-DEF
and CC O I-DEF
other JJ B-NP I-DEF
sources NNS I-NP I-DEF
to TO B-VP I-DEF
calculate VB I-VP I-DEF
dialogue NN B-NP I-DEF
primitives NNS I-NP I-DEF
. . O O

1 LS B-NP O
phrase NN I-NP O
structure NN I-NP O
SOC NNP I-NP O
Fig NNP I-NP O
. . O O
2 CD B-NP O
dependency NN I-NP O
structure NN I-NP O
I PRP I-NP O
This DT I-NP O
work NN I-NP O
was VBD B-VP O
mainly RB I-VP O
done VBN I-VP O
while IN O O
the DT B-NP O
author NN I-NP O
visited VBD B-VP O
Kodensha NNP B-NP O
Ltd NNP I-NP O
, , O O
Japan NNP B-NP O
during IN B-PP O
1996 CD B-NP O
. . O O
-1999 -NONE- B-VP O
78 CD B-NP O
Sentence-1 -NONE- I-NP O
is VBZ B-VP O
a DT O O
pivot NN O O
sentence NN O O
( : O O
~gd JJ O O
' '' O O
f~3 -NONE- O O
) : O O
, , O O
i.e. NNP O O
, , O O
`` `` O O
~1~ JJ O O
`` `` O O
is VBZ B-VP O
not RB O O
only RB O O
the DT O O
object NN O O
of IN B-PP O
`` `` O O
i PRP O O
, , O O
W NNP O O
`` `` O O
butalso RB O O
the DT O O
subject NN O O
of IN B-PP O
`` `` O O
Ik~ JJ O O
`` `` O O
. . O O

The DT B-NP O
remaining VBG I-NP O
papers NNS I-NP O
combine NN B-VP O
NL NNP B-NP O
techniques NNS I-NP O
from IN B-PP O
related JJ B-NP O
areas NNS I-NP O
summarization NN I-NP O
, , O O
information NN B-NP O
extraction NN I-NP O
to TO B-VP O
extend VB I-VP O
search NN B-NP O
capabilities NNS I-NP O
and CC O O
presentation NN B-NP O
of IN B-PP O
results NNS B-NP O
, , O O
including VBG B-PP O
summarization NN B-NP O
of IN B-PP O
search NN B-NP O
engine NN I-NP O
hit VBD I-NP O
lists NNS I-NP O
and CC I-NP O
summarization NN I-NP O
for IN B-PP O
text NN O O
categorization NN O O
, , O O
and CC O O
a DT O O
search NN O O
interface NN O O
that WDT O O
accepts VBZ B-VP O
template-like JJ O O
general JJ O O
constraints NNS O O
and CC O O
is VBZ B-VP O
able JJ O O
to TO B-VP O
return VB I-VP O
specific JJ O O
information NN O O
items NNS O O
such JJ B-PP O
as IN I-PP O
locations NNS O O
, , O O
`` `` O O
~ple JJ O O
or CC O O
companies NNS O O
that WDT B-VP O
satisfy NN I-VP O
user NN O O
's POS O O
constraints NNS O O
. . O O

AE NNP B-NP O
aims VBZ B-VP O
at IN B-PP O
retrieving VBG B-VP O
those DT B-NP O
sentences NNS I-NP O
from IN B-PP O
documents NNS B-NP O
that WDT I-NP O
contain NN B-VP O
the DT B-NP O
explicit NN I-NP O
