-DOCSTART- -X- -X- O
An DT I-NP O
Abbreviation NP I-NP B-TERM
( ( I-NP O
from IN B-PP O
Latin JJ I-PP O
brevis NN I-PP O
" `` O O
JJ ADJP O O
" '' O O
) ) O O
is VBZ B-VP O
a DT B-NP O
shortened VVN I-NP O
form NN I-NP O
of IN B-PP O
a DT B-PP B-GENUS
word NN B-NP B-HYPER
or CC B-NP O
phrase NN B-NP B-HYPER
. . O O

The DT B-NP O
Abipones NP I-NP B-TERM
were VBD B-VP O
a DT B-NP B-GENUS
tribe NN B-NP B-HYPER
of IN B-PP O
South NP I-PP O
American NP I-PP O
Indians NPS I-PP O
of IN I-PP O
Guaycuran NP I-PP O
stock NN I-PP O
RB ADVP O O
inhabiting VVG B-VP O
the DT B-NP O
territory NN I-NP O
lying VVG B-VP O
between IN B-PP O
Santa NP I-PP O
Fe NP I-PP O
and CC O O
. . O O

In IN B-PP O
the DT I-PP O
Book NN I-PP O
of IN I-PP O
Samuel NP I-PP O
, , I-PP O
Abner NP I-PP B-TERM
( ( O O
Biblical NP B-NP O
Hebrew NP I-NP O
for IN B-PP O
" `` I-PP O
father NN I-PP O
of IN I-PP O
light NN I-PP O
" '' O O
) ) O O
, , O O
is VBZ B-VP O
RB ADJP O B-GENUS
cousin NN B-NP B-HYPER
to TO B-PP O
Saul NP I-PP O
and NP I-PP O
commander-in-chief NN B-NP B-HYPER
of IN B-PP O
his PP$ I-PP O
army NN I-PP O
( ( O O
1 CD B-NP O
Samuel NP I-NP O
14:50 CD I-NP O
, , I-NP O
20:25 CD I-NP O
) ) O O
. . O O

An DT B-NP O
Abortion NP I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-GENUS
removal NN B-NP B-HYPER
or CC B-NP O
expulsion NN B-NP B-HYPER
of IN B-PP O
an DT I-PP O
embryo NN I-PP O
or CC I-PP O
fetus NN I-PP O
from IN I-PP O
the DT I-PP O
uterus NN I-PP O
, , O O
resulting VVG B-VP O
in IN B-PP O
or CC O O
caused VVN B-VP O
by IN B-PP O
its PP$ I-PP O
death NN I-PP O
. . O O

An DT B-NP O
Abscess NP I-NP B-TERM
( ( O O
abscessus NN B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP O
collection NN I-NP O
of IN B-PP O
pus NN B-NP B-HYPER
( ( B-NP O
dead JJ I-NP O
neutrophils NNS I-NP O
) ) O O
that WDT B-NP O
has VHZ B-VP O
accumulated VVN I-VP O
in IN B-PP O
a DT I-PP O
cavity NN I-PP O
formed VVN B-VP O
by IN B-PP O
the DT I-PP O
tissue NN I-PP O
on IN I-PP O
the DT I-PP O
basis NN I-PP O
of IN I-PP O
an DT I-PP O
infectious JJ I-PP O
process NN I-PP O
( ( O O
usually RB B-VP O
caused VVN I-VP O
by IN B-PP O
bacteria NNS I-PP O
or CC I-PP O
parasites NNS I-PP O
) ) O O
or CC O O
other JJ B-NP O
foreign JJ I-NP O
materials NNS I-NP O
( ( O O
e. JJ B-NP O
g. JJ I-NP O
splinters NNS I-NP O
, , O O
bullet NN B-NP O
wounds NNS I-NP O
, , O O
or CC O O
injecting VVG B-VP O
needles NNS B-NP O
) ) O O
. . O O

In IN B-PP O
law NN I-PP O
, , O O
an DT B-NP O
Abstract NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
brief NN I-NP I-GENUS
statement NN B-NP B-HYPER
that WDT B-NP O
contains VVZ B-VP O
the DT B-NP O
most RBS I-NP O
important JJ I-NP O
points NNS I-NP O
of IN B-PP O
a DT I-PP O
long JJ I-PP O
legal JJ I-PP O
document NN I-PP O
or CC O O
of IN B-PP O
several JJ I-PP O
related JJ I-PP O
legal JJ I-PP O
papers NNS I-PP O
. . O O

An DT B-NP O
Abugida NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
JJ ADJP O I-GENUS
writing NN B-NP B-HYPER
system NN I-NP I-HYPER
which WDT B-NP O
is VBZ B-VP O
based VVN I-VP O
on IN B-PP O
consonants NNS I-PP O
but CC O O
in IN B-PP O
which WDT I-PP O
vowel NN I-PP O
notation NN I-PP O
is VBZ B-VP O
JJ ADJP O O
. . O O

The DT B-NP O
Acantharea NP I-NP B-TERM
are VBP B-VP O
a DT B-NP O
small JJ I-NP O
group NN I-NP O
of IN B-PP O
radiolarian NN B-PP B-GENUS
protozoa NNS B-NP B-HYPER
, , O O
distinguished VVD B-VP O
RB ADVP O O
by IN B-PP O
their PP$ I-PP O
skeletons NNS I-PP O
. . O O

The DT B-NP O
Accordion NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
musical NN I-NP I-GENUS
instrument NN B-NP B-HYPER
of IN B-PP O
the DT I-PP O
hand-held JJ I-PP O
bellows-driven JJ I-PP O
free-reed NN I-PP O
aerophone NN I-PP O
family NN I-PP O
, , O O
RB ADVP O O
referred VVD B-VP O
to TO B-PP O
as IN I-PP O
a DT I-PP O
squeezebox NN I-PP O
. . O O

In IN I-PP O
a DT I-PP O
computer NN I-PP O
's POS I-PP O
central JJ B-NP O
processing NN I-NP O
unit NN I-NP O
( ( O O
CPU NP B-NP O
) ) O O
, , O O
an DT B-NP O
Accumulator NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
register NN B-NP B-HYPER
in IN B-PP O
which WDT I-PP O
intermediate JJ B-NP O
arithmetic NN I-NP O
and CC I-NP O
logic NN I-NP O
results NNS I-NP O
are VBP B-VP O
stored VVN I-VP O
. . O O

The DT B-NP O
Acre NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
unit NN B-NP B-HYPER
of IN B-PP I-HYPER
area NN I-PP I-HYPER
in IN B-PP O
a DT I-PP O
number NN I-PP O
of IN I-PP O
different JJ I-PP O
systems NNS I-PP O
, , O O
including VVG B-VP O
the DT B-NP O
imperial JJ I-NP O
and CC I-NP O
U. NP I-NP O
S. NP I-NP O
customary JJ I-NP O
systems NNS I-NP O
. . O O

In IN B-PP O
Greek JJ I-PP O
mythology NN I-PP O
, , O O
Actaeon NP B-NP B-TERM
( ( O O
/Ã¦kˈtiən/ NP B-NP O
) ) O O
( ( O O
Greek NP B-NP O
: : O O
Ακταίων NP B-NP O
) ) O O
, , O O
son NN B-NP O
of IN B-PP O
the DT I-PP O
priestly JJ I-PP O
herdsman NN I-PP O
Aristaeus NP I-PP O
and CC I-PP O
Autonoe NP I-PP O
in IN I-PP O
Boeotia NP I-PP O
, , O O
was VBD B-VP O
a DT B-NP B-GENUS
famous JJ I-NP I-GENUS
JJ ADJP O I-GENUS
hero NN B-NP B-HYPER
, , O O
trained VVN B-VP O
by IN B-PP O
the DT I-PP O
centaur NN I-PP O
Cheiron NP I-PP O
, , O O
who WP B-NP O
suffered VVD B-VP O
the DT B-NP O
fatal JJ I-NP O
wrath NN I-NP O
of IN B-PP O
Artemis NP I-PP O
. . O O

Actinobacteridae NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP O
subclass NN I-NP O
of IN B-PP O
bacteria NNS B-PP B-HYPER
, , O O
in IN B-PP O
the DT I-PP O
class NN I-PP O
of IN I-PP O
Actinobacteria NP I-PP O
. . O O

The DT B-NP O
Actinopterygii NP I-NP B-TERM
( ( O O
the DT B-NP O
plural JJ I-NP O
form NN I-NP O
of IN B-PP O
Actinopterygius NP I-PP O
) ) O O
comprise VVP B-VP O
the DT B-NP O
class NN I-NP O
of IN B-PP O
the DT B-PP B-GENUS
ray-finned NN I-PP I-GENUS
fishes NNS B-NP B-HYPER
. . O O

Adidas-Predator NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP O
range NN I-NP O
of IN B-PP O
football NN B-PP B-HYPER
boots NNS I-PP I-HYPER
developed VVN B-VP O
by IN B-PP O
German JJ I-PP O
sportswear NN I-PP O
manufacturers NNS I-PP O
Adidas NP B-NP O
. . O O

The DT I-NP O
Admiralty NP I-NP B-TERM
was VBD B-VP O
RB ADVP O O
the DT B-NP B-GENUS
authority NN B-NP B-HYPER
in IN B-PP O
the DT I-PP O
United NP B-NP O
Kingdom NP I-NP O
JJ ADJP O O
for IN B-PP O
the DT I-PP O
command NN I-PP O
of IN I-PP O
the DT I-PP O
Royal NP I-PP O
Navy NP I-PP O
. . O O

An DT B-NP O
Adventure NP I-NP B-TERM
is VBZ B-VP O
an DT B-NP B-GENUS
activity NN B-NP B-HYPER
that WDT B-NP O
comprises VVZ B-VP O
risky JJ B-NP O
, , I-NP O
dangerous JJ I-NP O
and CC I-NP O
uncertain JJ I-NP O
experiences NNS I-NP O
. . O O

Advertising-research NN I-NP B-TERM
is VBZ B-VP O
a DT B-NP O
specialized JJ I-NP O
form NN I-NP O
of IN B-PP O
research NN B-PP B-HYPER
that WDT B-NP O
works VVZ B-VP O
to TO I-VP O
improve VV I-VP O
the DT B-NP O
effectiveness NN I-NP O
and CC I-NP O
efficiency NN I-NP O
of IN B-PP O
advertising NN I-PP O
. . O O

An DT B-NP O
Affidavit NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
formal JJ I-NP I-GENUS
sworn VVN B-VP I-GENUS
statement NN B-NP B-HYPER
of IN B-PP O
fact NN I-PP O
, , O O
signed VVN B-VP O
by IN B-PP O
the DT I-PP O
declarant NN I-PP O
( ( O O
who WP B-NP O
is VBZ B-VP O
called VVN I-VP O
the DT B-NP O
affiant NN I-NP O
or CC I-NP O
deponent NN I-NP O
) ) O O
and CC O O
witnessed VVN B-VP O
( ( O O
as IN B-PP O
to TO I-PP O
the DT I-PP O
veracity NN I-PP O
of IN I-PP O
the DT I-PP O
affiant NN I-PP O
's POS I-PP O
signature NN B-NP O
) ) O O
by IN B-PP O
a DT I-PP O
taker NN I-PP O
of IN I-PP O
oaths NNS I-PP O
, , O O
JJ ADJP O O
as IN B-PP O
a DT I-PP O
notary NN I-PP O
public NN I-PP O
. . O O

An DT B-NP O
Affix NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
morpheme NN B-NP B-HYPER
that WDT B-NP O
is VBZ B-VP O
attached VVN I-VP O
to TO B-PP O
a DT I-PP O
stem NN I-PP O
to TO B-VP O
form VV I-VP O
a DT B-NP O
word NN I-NP O
. . O O

An DT I-NP O
Afterglow NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
broad JJ I-NP I-GENUS
high NN I-NP I-GENUS
arch NN B-NP B-HYPER
of IN B-PP O
JJ ADJP O O
or CC B-VP O
rosy JJ B-NP O
light NN I-NP O
appearing VVG B-VP O
in IN B-PP O
the DT I-PP O
sky NN I-PP O
JJ ADJP O O
to TO B-PP O
very RB I-PP O
fine JJ I-PP O
particles NNS I-PP O
of IN I-PP O
dust NN I-PP O
suspended VVN B-VP O
in IN B-PP O
the DT I-PP O
high JJ I-PP O
regions NNS I-PP O
of IN I-PP O
the DT I-PP O
atmosphere NN I-PP O
. . O O

In IN I-PP O
Greek JJ I-PP O
mythology NN I-PP O
, , O O
Agamemnon NP B-NP B-TERM
( ( O O
ancient JJ B-NP O
Greek JJ I-NP O
: : O O
Ἀγαμέμνων NN B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
hero NN B-NP B-HYPER
, , O O
the DT B-NP O
son NN I-NP O
of IN B-PP O
King NP I-PP O
Atreus NP I-PP O
of IN I-PP O
Mycenae NP I-PP O
and CC I-PP O
Queen NP I-PP O
Aerope NP I-PP O
, , O O
the DT B-NP O
brother NN I-NP O
of IN B-PP O
Menelaus NP I-PP O
and CC O O
the DT B-NP O
husband NN I-NP O
of IN B-PP O
Clytemnestra NP I-PP O
; : O O
different JJ B-NP O
mythological JJ I-NP O
versions NNS I-NP O
make VVP B-VP O
him PP B-NP O
the DT I-NP O
king NN I-NP O
either CC O O
of IN B-PP O
Mycenae NP I-PP O
or CC O O
of IN B-PP O
Argos NP I-PP O
. . O O

Agaricomycetidae NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP O
subclass NN I-NP O
of IN B-PP O
mushrooms NNS B-PP B-HYPER
, , O O
in IN B-PP O
the DT I-PP O
phylum NN I-PP O
of IN I-PP O
Basidiomycota NP I-PP O
. . O O

Agate NN B-NP B-TERM
( ( O O
/ˈæɡət/ NN B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP O
microcrystalline JJ I-NP O
variety NN I-NP O
of IN B-PP O
quartz NN B-NP B-HYPER
( ( O O
silica NN B-NP B-HYPER
) ) B-NP O
, , O O
RB ADVP O O
chalcedony NN B-NP O
, , O O
characterised VVN B-VP O
by IN B-PP O
its PP$ I-PP O
fineness NN I-PP O
of IN I-PP O
grain NN I-PP O
and CC I-PP O
brightness NN I-PP O
of IN I-PP O
color NN I-PP O
. . O O

Agathon NN B-NP B-TERM
( ( O O
Ἀγάθων NP B-NP O
) ) O O
( ( B-NP O
ca MD B-VP O
. SENT O O
448 CD B-NP O
- : O O
400 CD B-NP O
BC NP I-NP O
) ) O O
was VBD B-VP O
an DT B-NP B-GENUS
Athenian JJ I-NP I-GENUS
JJ ADJP O I-GENUS
poet NN B-NP B-HYPER
and CC B-NP O
friend NN B-NP B-HYPER
of IN B-PP O
Euripides NP I-PP O
and CC I-PP O
Plato NP I-PP O
. . O O

In IN I-PP O
traditional JJ I-PP O
cultures NNS I-PP O
, , O O
Air NP B-NP B-TERM
is VBZ B-VP O
often RB I-VP O
seen VVN I-VP O
as IN B-PP O
a DT B-PP B-GENUS
universal JJ I-PP I-GENUS
power NN B-PP B-HYPER
or CC O O
JJ ADJP O O
substance NN B-NP B-HYPER
. . O O

Ajmer NN B-NP B-TERM
( ( I-NP O
JJ ADJP O O
: : O O
अजमेर NN B-NP O
/ədʒmeːr/ NN I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
city NN B-NP B-HYPER
in IN B-PP O
Ajmer NP I-PP O
District NP I-PP O
in IN I-PP O
India NP I-PP O
's POS I-PP O
Rajasthan NP B-NP O
state NN I-NP O
. . O O

The DT I-NP O
Alamanni NP I-NP B-TERM
, , I-NP O
Allemanni NP I-NP O
, , I-NP O
or CC I-NP O
Alemanni NP I-NP O
were VBD B-VP O
RB ADVP O O
an DT B-NP B-GENUS
alliance NN B-NP B-HYPER
of IN B-PP O
west JJ I-PP O
Germanic JJ I-PP O
tribes NNS B-NP O
located VVN B-VP O
around IN B-PP O
the DT I-PP O
upper JJ I-PP O
Main NP I-PP O
, , O O
a DT B-NP O
river NN I-NP O
that WDT I-NP O
is VBZ B-VP O
one CD B-NP O
of IN B-PP O
the DT I-PP O
largest JJS I-PP O
tributaries NNS I-PP O
of IN I-PP O
the DT I-PP O
Rhine NP I-PP O
, , O O
on IN B-PP O
land NN I-PP O
that WDT B-NP O
is VBZ B-VP O
today NN B-NP O
part NN I-NP O
of IN B-PP O
Germany NP I-PP O
. . O O

In IN I-PP O
the DT I-PP O
history NN I-PP O
of IN I-PP O
science NN I-PP O
, , O O
Alchemy NP B-NP B-TERM
( ( O O
from IN B-PP O
the DT I-PP O
Arabic NP I-PP O
الخيمياء NP I-PP O
al-khīmiyā' NP I-PP O
' POS I-PP O
) ) I-PP O
refers VVZ B-VP O
to TO I-VP O
both CC O O
an DT B-NP O
early JJ I-NP O
form NN I-NP O
of IN B-PP O
the NP B-PP B-GENUS
investigation NN B-NP B-HYPER
of IN B-PP O
nature NN I-PP O
and CC O O
an DT B-NP O
early JJ I-NP O
philosophical JJ I-NP O
and CC O O
JJ ADJP O O
discipline NN B-NP B-HYPER
, , O O
both CC O O
combining VVG B-VP O
elements NNS B-NP O
of IN B-PP O
chemistry NN I-PP O
, , I-PP O
metallurgy NN I-PP O
, , I-PP O
physics NNS I-PP O
, , I-PP O
medicine NN I-PP O
, , I-PP O
astrology NN I-PP O
, , I-PP O
semiotics NNS I-PP O
, , I-PP O
mysticism NN I-PP O
, , I-PP O
spiritualism NN I-PP O
, , I-PP O
and CC I-PP O
art NN I-PP O
RB ADVP O O
as IN B-PP O
parts NNS I-PP O
of IN I-PP O
one CD I-PP O
greater JJR I-PP O
force NN I-PP O
. . O O

In IN I-PP O
chemistry NN I-PP O
, , O O
an DT B-NP O
Alcohol NP I-NP B-TERM
is VBZ B-VP O
any DT B-NP B-GENUS
JJ ADJP O I-GENUS
compound NN B-NP B-HYPER
in IN B-PP O
which WDT I-PP O
a DT B-NP O
hydroxyl NN I-NP O
group NN I-NP O
( ( O O
-OH NN B-NP O
) ) O O
is VBZ B-VP O
bound VVN I-VP O
to TO B-PP O
a DT I-PP O
carbon NN I-PP O
atom NN I-PP O
of IN I-PP O
an DT I-PP O
alkyl NN I-PP O
or CC O O
substituted VVN B-NP O
alkyl NN I-NP O
group NN I-NP O
. . O O

An DT I-NP O
Alexandrine NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP O
line NN I-NP O
of IN B-PP O
JJ ADJP O B-GENUS
meter NN B-NP B-HYPER
. . O O

The DT B-NP O
Alexandrists NP I-NP B-TERM
were VBD B-VP O
a DT B-NP B-GENUS
school NN B-NP B-HYPER
of IN B-PP O
Renaissance NP I-PP O
philosophers NNS I-PP O
who WP B-NP O
, , O O
in IN B-PP O
the DT I-PP O
great JJ I-PP O
controversy NN I-PP O
on IN I-PP O
the DT I-PP O
subject NN I-PP O
of IN I-PP O
personal JJ I-PP O
immortality NN I-PP O
, , O O
adopted VVD B-VP O
the DT B-NP O
explanation NN I-NP O
of IN B-PP O
the DT I-PP O
De NP I-PP O
Anima NP I-PP O
given VVN B-VP O
by IN B-PP O
Alexander NP I-PP O
of IN I-PP O
Aphrodisias NP I-PP O
. . O O

In IN I-PP O
mathematics NN I-PP O
, , I-PP O
computing NN I-PP O
, , I-PP O
linguistics NNS I-PP O
and CC I-PP O
related JJ I-PP O
disciplines NNS I-PP O
, , O O
an DT B-NP O
Algorithm NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP O
sequence NN I-NP O
of IN B-PP O
instructions NNS B-NP B-HYPER
, , O O
RB ADVP O O
used VVN B-VP O
for IN B-PP O
calculation NN I-PP O
and CC I-PP O
data NN I-PP O
processing NN I-PP O
. . O O

In IN I-PP O
chemistry NN I-PP O
, , O O
an DT B-NP O
Alkali NP I-NP B-TERM
( ( O O
from IN B-PP O
Arabic NP I-PP O
: : O O
Al-Qaly NP B-NP O
القالي NP I-NP O
, , O O
القلي NP B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
basic JJ I-NP I-GENUS
, , O I-GENUS
JJ ADJP O I-GENUS
salt NN B-NP B-HYPER
of IN B-PP O
an DT I-PP O
alkali NN I-PP O
metal NN I-PP O
or CC O O
alkaline JJ B-NP O
earth NN I-NP O
metal NN I-NP O
element NN I-NP O
. . O O

In IN B-PP O
organic JJ I-PP O
chemistry NN I-PP O
, , O O
an DT B-NP O
Alkene NP I-NP B-TERM
, , I-NP O
olefin NN I-NP O
, , O O
or CC O O
olefine NN B-NP O
is VBZ B-VP O
an DT B-NP B-GENUS
JJ ADJP O I-GENUS
chemical NN B-NP B-HYPER
compound NN I-NP I-HYPER
containing VVG B-VP O
at IN B-PP O
least JJS I-PP O
one CD B-NP O
carbon-to-carbon NN I-NP O
double JJ I-NP O
bond NN I-NP O
. . O O

An DT I-NP O
Allegiance NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
duty NN B-NP B-HYPER
of IN B-PP O
fidelity NN B-NP O
said VVD B-VP O
to TO I-VP O
be VB I-VP O
owed VVN I-VP O
by IN B-PP O
a DT I-PP O
subject NN I-PP O
or CC O O
a DT B-NP O
citizen NN I-NP O
to TO B-PP O
his/ NN I-PP O
her PP$ B-NP O
state NN I-NP O
or CC O O
JJ ADJP O O
. . O O

An DT B-NP O
Allele NP I-NP B-TERM
( ( O O
/ˈæliːl/ NP B-NP O
( ( O O
UK NP B-NP O
) ) O O
, , O O
/əˈliːl/ NN B-NP O
( ( O O
US NP B-NP O
) ) O O
) ) O O
is VBZ B-VP O
one CD B-NP O
member NN I-NP O
of IN B-PP O
a DT I-PP O
pair NN I-PP O
or CC I-PP O
series NN I-PP O
of IN I-PP O
different JJ I-PP O
forms NNS I-PP O
of IN I-PP O
a DT B-PP B-GENUS
gene NN B-NP B-HYPER
. . O O

An DT B-NP O
Allene NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
hydrocarbon NN B-NP B-HYPER
in IN B-PP O
which WDT I-PP O
one CD B-NP O
atom NN I-NP O
of IN B-PP O
carbon NN I-PP O
is VBZ B-VP O
connected VVN I-VP O
by IN B-PP O
double JJ I-PP O
bonds NNS I-PP O
with IN I-PP O
two CD I-PP O
other JJ I-PP O
atoms NNS I-PP O
of IN I-PP O
carbon NN I-PP O
. . O O

An DT B-NP O
Allomorph NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP O
linguistics NN I-NP O
term NN I-NP O
for IN B-PP O
a DT I-PP O
variant JJ I-PP O
form NN I-PP O
of IN I-PP O
a DT B-PP B-GENUS
morpheme NN B-PP B-HYPER
. . O O

In IN B-PP O
phonetics NN I-PP O
, , O O
an DT B-NP O
Allophone NP I-NP B-TERM
is VBZ B-VP O
one CD B-NP O
of IN B-PP O
several JJ B-PP B-GENUS
similar JJ I-PP I-GENUS
speech NN I-PP I-GENUS
sounds NNS B-NP B-HYPER
( ( O O
phones NNS B-NP B-HYPER
) ) B-NP O
that WDT B-NP O
belong VVP B-VP O
to TO B-PP O
the DT I-PP O
same JJ I-PP O
phoneme NN I-PP O
. . O O

Allosaurus NN B-NP B-TERM
was VBD B-VP O
a DT B-NP B-GENUS
large JJ I-NP I-GENUS
bipedal NN I-NP I-GENUS
predator NN B-NP B-HYPER
with IN B-PP O
a DT I-PP O
large JJ I-PP O
skull NN I-PP O
, , O O
equipped VVN B-VP O
with IN B-PP O
dozens NNS I-PP O
of IN I-PP O
large JJ I-PP O
, , I-PP O
sharp JJ I-PP O
teeth NNS I-PP O
. . O O

An DT B-NP O
Alloy NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
RB ADJP O I-GENUS
solution NN B-NP B-HYPER
or CC B-VP O
JJ ADJP O O
mixture NN B-NP B-HYPER
of IN B-PP O
two CD I-PP O
or CC I-PP O
more JJR I-PP O
elements NNS I-PP O
, , O O
at IN B-PP O
least JJS I-PP O
one CD B-NP O
of IN B-PP O
which WDT I-PP O
is VBZ B-VP O
a DT B-NP O
metal NN I-NP O
, , O O
which WDT B-NP O
itself PP I-NP O
has VHZ B-VP O
metallic JJ B-NP O
properties NNS I-NP O
. . O O

The DT I-NP O
Almond NP I-NP B-TERM
( ( O O
'Prunus NP B-NP O
dulcis NP I-NP O
' POS I-NP O
, , O O
RB ADVP O O
. SENT O O
Prunus NP B-NP O
amygdalus NP I-NP O
Batsch NP I-NP O
. SENT O O
, , O O
Amygdalus NP B-NP O
communis NP I-NP O
L. NP I-NP O
, , O O
Amygdalus NP B-NP O
dulcis NP I-NP O
Mill NP I-NP O
. SENT O O
) ) O O
is VBZ B-VP O
a DT B-NP O
species NN I-NP O
of IN B-PP O
Prunus NP B-NP B-HYPER
belonging VVG B-VP O
to TO B-PP O
the DT I-PP O
subfamily NN I-PP O
Prunoideae NP B-NP O
of IN B-PP O
the DT I-PP O
family NN I-PP O
Rosaceae NNS I-PP O
; : O O
within IN B-PP O
Prunus NP I-PP O
, , O O
it PP B-NP O
is VBZ B-VP O
classified VVN I-VP O
in IN B-PP O
the DT I-PP O
subgenus NN I-PP O
Amygdalus NP B-NP O
, , O O
distinguished VVD B-VP O
from IN B-PP O
the DT I-PP O
other JJ I-PP O
