-DOCSTART- -X- -X- O
) : I-NP O
. . O O

CommandTalk NNP B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
spoken-language JJ I-NP I-DEF
interface NN I-NP I-DEF
to TO B-PP I-DEF
the DT B-NP I-DEF
ModSAF NNP I-NP I-DEF
( NNP I-NP I-DEF
Modular NNP I-NP I-DEF
Semi-Automated NNP I-NP I-DEF
Forces NNPS I-NP I-DEF
) NNP I-NP I-DEF
battlefield NN I-NP I-DEF
simulator NN I-NP I-DEF
, , O O
developed VBD B-VP O
with IN B-PP O
the DT B-NP O
goal NN I-NP O
of IN B-PP O
allowing VBG B-VP O
military JJ B-NP O
commanders NNS I-NP O
to TO B-VP O
interact VB I-VP O
with IN B-PP O
simulated JJ B-NP O
forces NNS I-NP O
in IN B-PP O
a DT B-NP O
manner NN I-NP O
as IN B-PP O
similar JJ B-NP O
as IN B-PP O
possible JJ O O
to TO B-PP O
the DT B-NP O
way NN I-NP O
they PRP O O
would MD B-VP O
command VB I-VP O
actual JJ O O
forces NNS O O
. . O O

For IN B-PP O
example NN B-NP O
, , O O
a DT B-NP O
CORELEX NNP I-NP B-TERM
class NN I-NP I-TERM
AQU NNP I-NP I-TERM
( NNP O O
which WDT B-NP O
represents VBZ B-VP B-DEF
a DT B-NP I-DEF
relation NN I-NP I-DEF
between IN B-PP I-DEF
ARTIFACT NNP B-NP I-DEF
and CC I-NP I-DEF
QUANTITY NNP I-NP I-DEF
) NNP I-NP O
contains VBZ B-VP O
words NNS B-NP O
such JJ B-PP O
as IN I-PP O
`` `` O O
bottle NN B-NP O
'' '' O O
, , O O
`` `` O O
bucket NN B-NP O
'' '' O O
and CC O O
`` `` O O
spoon NN B-NP O
'' '' O O
. . O O

Third JJ O O
, , O O
we PRP B-NP O
present VBP B-VP O
some DT B-NP O
of IN B-PP O
our PRP$ B-NP O
current JJ I-NP O
primitives NNS I-NP O
, , O O
and CC O O
finally RB O O
, , O O
we PRP B-NP O
describe VBP B-VP O
the DT B-NP O
dialogue NN I-NP B-TERM
engine NN I-NP I-TERM
and CC O O
how WRB O O
it PRP B-NP O
uses VBZ B-VP B-DEF
the DT B-NP I-DEF
application NN I-NP I-DEF
description NN I-NP I-DEF
and CC O I-DEF
other JJ B-NP I-DEF
sources NNS I-NP I-DEF
to TO B-VP I-DEF
calculate VB I-VP I-DEF
dialogue NN B-NP I-DEF
primitives NNS I-NP I-DEF
. . O O

C NNP B-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
current JJ I-NP I-DEF
hypothesis NN I-NP I-DEF
. . O O

The DT B-NP O
F-measure JJ I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
balanced VBN I-NP I-DEF
score NN I-NP I-DEF
of IN B-PP I-DEF
precision NN B-NP I-DEF
and CC I-NP I-DEF
recall NN I-NP I-DEF
, , O I-DEF
calculated VBD B-VP I-DEF
as IN O I-DEF
follows NNS B-VP I-DEF
: : O I-DEF
2 CD B-NP I-DEF
* -NONE- I-NP I-DEF
precision NN I-NP I-DEF
* -NONE- I-NP I-DEF
recall VB I-NP I-DEF
`` `` O I-DEF
F-measure JJ O I-DEF
= NN O I-DEF
precision NN B-NP I-DEF
+ : I-NP I-DEF
recall NN I-NP I-DEF
Figures NNS I-NP O
4 CD I-NP O
and CC I-NP O
5 CD I-NP O
show NN I-NP O
that WDT O O
the DT B-NP O
phraserepresented VBD I-NP O
summary JJ I-NP O
( NN I-NP O
C NNP I-NP O
) NNP I-NP O
presents NNS B-VP O
the DT B-NP O
highest JJS I-NP O
performance NN I-NP O
. . O O

In IN B-PP O
this DT B-NP O
paper NN I-NP O
, , O O
I PRP B-NP O
have VBP B-VP O
presented VBN I-VP O
a DT B-NP O
query NN I-NP O
tool NN I-NP O
for IN B-PP O
syntactically RB B-NP B-TERM
annotated VBN I-NP I-TERM
corpora NN I-NP I-TERM
that IN I-NP O
is VBZ B-VP O
developed VBN I-VP B-DEF
for IN B-PP I-DEF
the DT B-NP I-DEF
German NNP I-NP I-DEF
Verbmobil NNP I-NP I-DEF
treebank NN I-NP I-DEF
annotated VBD B-VP I-DEF
at IN B-PP I-DEF
the DT B-NP I-DEF
University NNP I-NP I-DEF
of IN B-PP I-DEF
Tiibingen NNP B-NP I-DEF
. . O O

Thus RB O O
, , O O
a DT B-NP O
treecut NN I-NP B-TERM
corresponds VBZ I-NP O
to TO B-PP O
one CD B-NP B-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
levels NNS I-NP I-DEF
of IN B-PP I-DEF
abstraction NN B-NP I-DEF
in IN B-PP I-DEF
the DT B-NP I-DEF
tree NN I-NP I-DEF
. . O O

Its PRP$ B-NP O
main JJ I-NP O
strength NN I-NP O
lies NNS B-VP O
on IN B-PP O
the DT B-NP O
development NN I-NP O
of IN B-PP O
the DT B-NP O
UNL NNP I-NP B-TERM
, , O O
as IN B-PP O
a DT B-NP B-DEF
unique JJ I-NP I-DEF
semantic JJ I-NP I-DEF
( NN I-NP I-DEF
or CC I-NP I-DEF
meaning VBG I-NP I-DEF
) CD O I-DEF
representation NN B-NP I-DEF
that WDT I-NP I-DEF
can MD B-VP I-DEF
be VB I-VP I-DEF
interchanged VBN I-VP I-DEF
with IN B-PP I-DEF
the DT B-NP I-DEF
various JJ I-NP I-DEF
languages NNS I-NP I-DEF
to TO B-VP I-DEF
be VB I-VP I-DEF
integrated VBN I-VP I-DEF
in IN B-PP I-DEF
the DT B-NP I-DEF
KBMT NNP I-NP I-DEF
system NN I-NP I-DEF
. . O O

We PRP B-NP O
address VBP B-VP O
the DT B-NP O
issue NN I-NP O
of IN B-PP O
' '' B-NP O
topic JJ I-NP B-TERM
analysis NN I-NP I-TERM
, , O O
' '' O O
by IN B-PP O
which WDT B-NP O
is VBZ B-VP O
determined VBN I-VP O
a DT B-NP O
text NN I-NP O
' '' O O
s NNS B-NP O
topic JJ I-NP O
structure NN I-NP O
, , O O
which WDT B-NP O
indicates VBZ B-VP B-DEF
what WP B-NP I-DEF
topics NNS O I-DEF
are VBP B-VP I-DEF
included VBN I-VP I-DEF
in IN B-PP I-DEF
a DT O I-DEF
text NN O I-DEF
, , O I-DEF
and CC O I-DEF
how WRB O I-DEF
topics NNS O I-DEF
change VBP B-VP I-DEF
within IN B-PP I-DEF
the DT O I-DEF
text NN O I-DEF
. . O O

WordNet NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
lexical JJ I-NP I-DEF
ontology NN B-PP I-DEF
a DT B-NP I-DEF
variant NN I-NP I-DEF
on IN B-PP I-DEF
semantic JJ B-NP I-DEF
networks NNS I-NP I-DEF
with IN B-PP I-DEF
more JJR B-NP I-DEF
of IN B-PP I-DEF
a DT B-NP I-DEF
hierarchical JJ I-NP I-DEF
structure NN I-NP I-DEF
, , O O
even RB O O
though IN O O
some DT B-NP O
of IN B-PP O
the DT B-NP O
nodes NNS I-NP O
can MD B-VP O
have VB I-VP O
multiple NNS B-NP O
parents NNS I-NP O
that IN O O
was VBD B-VP O
manually RB I-VP O
constructed VBN I-VP O
for IN B-PP O
the DT O O
English NNP O O
language NN O O
. . O O

FERGUS NNP B-NP B-TERM
currently RB O O
can MD B-VP O
perform VB I-VP B-DEF
punctuation NN B-NP I-DEF
and CC O I-DEF
function NN B-VP I-DEF
word NN B-NP I-DEF
insertion NN I-NP I-DEF
, , O I-DEF
and CC O I-DEF
morphology NN B-NP I-DEF
and CC I-NP I-DEF
lexical JJ I-NP I-DEF
choice NN I-NP I-DEF
are VBP B-VP I-DEF
under IN B-PP I-DEF
development NN B-NP I-DEF
. . O O

: : O O
x NN B-NP O
VP NNP I-NP O
V NNP I-NP O
NP NNP I-NP O
: : O O
p NN B-NP O
j NN I-NP O
I PRP I-NP O
surrounding VBG B-VP O
c NN B-NP O
semantics NNS I-NP O
: : O O
surround NN B-NP B-TERM
( : I-NP I-TERM
x NN I-NP I-TERM
. . O I-TERM
p NN B-VP I-TERM
) : I-VP I-TERM
( : B-NP O
4a CD I-NP O
) CD O O
provides NNS B-VP O
a DT B-NP O
structure NN I-NP B-DEF
that WDT I-NP I-DEF
could MD B-VP I-DEF
substitute VB I-VP I-DEF
for IN B-PP I-DEF
the DT B-NP I-DEF
G NNP I-NP I-DEF
node NN I-NP I-DEF
in IN B-PP I-DEF
( NNP O I-DEF
3 CD O I-DEF
) CD O I-DEF
to TO B-VP I-DEF
produce VB I-VP I-DEF
semantically RB O I-DEF
and CC O I-DEF
pragmatically RB O I-DEF
coordinated VBN O I-DEF
speech NN O I-DEF
and CC O I-DEF
gesture NN O I-DEF
. . O O

( NN B-NP O
2 CD I-NP O
) CD O O
A DT B-NP O
sequence NN I-NP O
of IN B-PP O
rules NNS B-NP O
of IN B-PP O
the DT B-NP O
form NN I-NP O
: : O O
Change NNP B-VP O
the DT B-NP O
label NN I-NP O
of IN B-PP O
a DT B-NP O
string NN I-NP O
from IN B-PP O
m NN B-NP O
to TO B-PP O
n VB B-NP O
if IN B-PP O
C NNP B-NP O
( NNP I-NP O
string NN I-NP O
) : I-NP O
, , O O
where WRB O O
C NNP O B-TERM
is VBZ B-VP O
a DT O B-DEF
predicate NN O I-DEF
over IN B-PP I-DEF
strings NNS O I-DEF
and CC O O
m NN O O
, , O O
n NN O O
~ : B-VP O
L. NNP O O
A DT O O
string NN O O
is VBZ B-VP O
labelled VBN I-VP O
by IN B-PP O
first JJ O O
applying NN O O
the DT O O
start-state JJ O O
annotator NN O O
to TO B-PP O
it PRP O O
, , O O
and CC O O
then RB O O
applying VBG B-VP O
each DT O O
rule NN O O
, , O O
in IN O O
order NN O O
. . O O

In IN B-PP O
the DT B-NP O
deeper NN I-NP O
linguistic JJ I-NP O
analysis NN I-NP O
the DT I-NP B-TERM
two CD I-NP I-TERM
so RB I-NP I-TERM
's VBZ I-NP I-TERM
may MD B-VP O
be VB I-VP O
related VBN I-VP O
, , O O
for IN O O
they PRP B-NP O
refer VBP B-VP O
to TO B-PP O
a DT B-NP B-DEF
situation NN I-NP I-DEF
involving VBG B-VP I-DEF
excessive JJ B-NP I-DEF
height NN I-NP I-DEF
with IN B-PP I-DEF
implied JJ B-NP I-DEF
consequence NN I-NP I-DEF
which WDT I-NP I-DEF
may MD B-VP I-DEF
or CC I-VP I-DEF
may MD I-VP I-DEF
not RB I-VP I-DEF
be VB I-VP I-DEF
stated VBN I-VP I-DEF
. . O O

Highlight NNP B-NP B-TERM
( : I-NP O
Thomas NNP I-NP O
et NN I-NP O
al NN I-NP O
. . O O
, , O O
2000 CD B-NP O
) : I-NP O
is VBZ B-VP O
a DT B-NP B-DEF
generalpurpose NN I-NP I-DEF
IE NNP I-NP I-DEF
engine NN I-NP I-DEF
for IN B-PP I-DEF
use NN B-NP I-DEF
in IN B-PP I-DEF
commercial JJ B-NP I-DEF
applications NNS I-NP I-DEF
. . O O

Using VBG B-VP O
its PRP$ B-NP O
finite-state JJ I-NP O
language NN I-NP O
model NN I-NP O
, , O O
the DT B-NP O
REXTOR NNP I-NP B-TERM
System NNP I-NP I-TERM
generates VBZ B-VP B-DEF
a DT B-NP I-DEF
set NN I-NP I-DEF
of IN B-PP I-DEF
ternary JJ B-NP I-DEF
expressions NNS I-NP I-DEF
that WDT B-PP I-DEF
correspond NN B-NP I-DEF
to TO B-PP I-DEF
content VB B-NP I-DEF
of IN B-PP I-DEF
a DT B-NP I-DEF
partf-speechtagged JJ I-NP O
input NN I-NP O
document NN I-NP O
. . O O

A DT B-NP O
KeyWord NNP I-NP B-TERM
list NN I-NP I-TERM
is VBZ B-VP O
a DT B-NP B-DEF
portion NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
study NN I-NP I-DEF
corpus VBZ I-NP I-DEF
word NN I-NP I-DEF
list NN I-NP I-DEF
. . O O

Quarc NNP B-NP B-TERM
( : I-NP I-TERM
QUestion NNP I-NP I-TERM
Answering NNP I-NP I-TERM
for IN B-PP I-TERM
Reading NNP B-NP I-TERM
Comprehension NNP I-NP I-TERM
) NNP I-NP I-TERM
is VBZ B-VP O
a DT B-NP B-DEF
rule-based JJ I-NP I-DEF
system NN I-NP I-DEF
that WDT I-NP I-DEF
uses VBZ B-VP I-DEF
lexical JJ B-NP I-DEF
and CC I-NP I-DEF
semantic JJ I-NP I-DEF
heuristics NNS I-NP I-DEF
to TO B-VP I-DEF
look VB I-VP I-DEF
for IN B-PP I-DEF
evidence NN B-NP I-DEF
that IN B-PP I-DEF
a DT B-NP I-DEF
sentence NN I-NP I-DEF
contains VBZ B-VP I-DEF
the DT B-NP I-DEF
answer NN I-NP I-DEF
to TO B-PP I-DEF
a DT B-NP I-DEF
question NN I-NP I-DEF
. . O O

We PRP B-NP O
describe VBP B-VP O
preliminary JJ B-NP O
work NN I-NP O
developing VBG B-VP O
measures NNS B-NP O
on IN B-PP O
system-internal JJ B-NP O
components NNS I-NP O
that WDT I-NP O
assess NN B-VP O
: : O O
( : B-NP O
i PRP I-NP O
) VBP O O
the DT B-NP O
flow NN I-NP O
of IN B-PP O
words NNS B-NP O
relevant VBP O O
to TO B-PP O
the DT B-NP O
filtering NN I-NP O
task NN I-NP O
and CC I-NP O
domain NN I-NP O
through IN B-PP O
the DT O O
steps NNS O O
of IN B-PP O
document NN O O
processing NN O O
in IN B-PP O
our PRP$ O O
embedded VBN O O
MT NNP O O
system NN O O
, , O O
and CC O O
( : O O
ii NN O O
) : B-PP O
the DT O O
level NN O O
of IN B-PP O
`` `` O O
noise NN O B-TERM
`` `` O O
i.e. NNP O O
, , O O
processing NN B-VP B-DEF
errors NNS O I-DEF
, , O I-DEF
passing VBG B-VP I-DEF
through IN B-PP I-DEF
the DT O I-DEF
system NN O I-DEF
. . O O

Regression NN B-NP O
analysis NN I-NP O
of IN B-PP O
the DT B-NP O
experimental JJ I-NP O
results NNS I-NP O
reveals NNS B-VP O
that WDT O O
, , O O
in IN B-PP O
order NN B-NP O
for IN B-PP O
ECOC NNP B-NP O
to TO B-VP O
be VB I-VP O
successful JJ O O
for IN B-PP O
language NN B-NP O
learning VBG I-NP O
, , O O
the DT B-NP O
use NN I-NP O
of IN B-PP O
the DT B-NP O
Modified NNP I-NP B-TERM
Value NNP I-NP I-TERM
Difference NNP I-NP I-TERM
Metric NNP I-NP I-TERM
( NNP I-NP O
MVDM NNP I-NP B-TERM
) NNP I-NP O
is VBZ B-VP O
an DT B-NP B-DEF
important JJ I-NP I-DEF
factor NN I-NP I-DEF
, , O I-DEF
which WDT B-NP I-DEF
is VBZ B-VP I-DEF
explained VBN I-VP I-DEF
in IN B-PP I-DEF
terms NNS O I-DEF
of IN B-PP I-DEF
population NN O I-DEF
density NN O I-DEF
of IN B-PP I-DEF
the DT O I-DEF
class NN O I-DEF
hyperspace NN O I-DEF
. . O O

`` `` O O
For IN B-PP O
this DT B-NP O
more RBR I-NP O
general JJ I-NP O
case NN I-NP O
, , O O
define NN B-VP O
B NNP B-NP B-TERM
( NNP I-NP I-TERM
X NNP I-NP I-TERM
) NNP B-VP I-TERM
to TO I-VP O
be VB I-VP O
B NNP B-NP B-DEF
( NNP I-NP I-DEF
X1 NNP I-NP I-DEF
, , I-NP I-DEF
X2 NNP I-NP I-DEF
, , I-NP I-DEF
. . B-VP I-DEF
. . I-VP I-DEF
.X JJ I-VP I-DEF
, , O I-DEF
) : B-VP I-DEF
where WRB O I-DEF
each DT B-NP I-DEF
Xi NNP I-NP I-DEF
is VBZ B-VP I-DEF
a DT B-NP I-DEF
possible JJ I-NP I-DEF
value NN I-NP I-DEF
of IN B-PP I-DEF
X NNP B-NP I-DEF
. . O O

The DT B-NP O
objective NN I-NP B-TERM
function NN I-NP I-TERM
is VBZ B-VP O
defined VBN I-VP O
as RB B-PP O
the DT B-NP B-DEF
sum NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
code NN I-NP I-DEF
length NN I-NP I-DEF
for IN B-PP I-DEF
the DT B-NP I-DEF
model NN I-NP I-DEF
( : I-NP I-DEF
`` `` I-NP I-DEF
model NN I-NP I-DEF
description NN I-NP I-DEF
length NN I-NP I-DEF
`` `` O I-DEF
) : O I-DEF
and CC O I-DEF
that IN B-PP I-DEF
for IN I-PP I-DEF
the DT B-NP I-DEF
data NNS I-NP I-DEF
( : O I-DEF
`` `` O I-DEF
data NNS B-NP I-DEF
description NN I-NP I-DEF
length NN I-NP I-DEF
`` `` O I-DEF
) : B-NP I-DEF
. . O O

In IN B-PP O
`` `` O O
Each DT B-NP O
patient NN I-NP O
is VBZ B-VP O
given VBN I-VP O
a DT B-NP O
high JJ I-NP O
severity NN I-NP O
rating NN I-NP O
'' '' I-NP O
, , O O
performing VBG B-VP O
universal NN B-NP O
quantification NN I-NP O
on IN B-PP O
the DT B-NP O
patients NNS I-NP O
( : I-NP O
ARG3 NNP I-NP B-TERM
) : I-NP O
is VBZ B-VP O
a DT B-NP B-DEF
separate JJ I-NP I-DEF
decision NN I-NP I-DEF
from IN B-PP I-DEF
the DT B-NP I-DEF
existential JJ I-NP I-DEF
quantification NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
severity NN I-NP I-DEF
ratings NNS I-NP I-DEF
( : I-NP I-DEF
ARG2 NNP I-NP I-DEF
) : I-NP I-DEF
. . O O

Artificial JJ B-NP B-TERM
neural JJ I-NP I-TERM
networks NNS I-NP I-TERM
are VBP B-VP O
a DT B-NP B-DEF
classification NN I-NP I-DEF
technique NN I-NP I-DEF
that WDT I-NP I-DEF
is VBZ B-VP I-DEF
robust MD O I-DEF
and CC O I-DEF
resistant VB O I-DEF
to TO B-PP I-DEF
noisy VB B-NP I-DEF
input NN I-NP I-DEF
, , O I-DEF
and CC O I-DEF
learns NNS B-VP I-DEF
to TO I-VP I-DEF
classify VB I-VP I-DEF
inputs NNS B-NP I-DEF
on IN B-PP I-DEF
the DT B-NP I-DEF
basis NN I-NP I-DEF
of IN B-PP I-DEF
training NN B-NP I-DEF
examples NNS I-NP I-DEF
, , O I-DEF
without IN B-PP I-DEF
specific JJ B-NP I-DEF
rules NNS I-NP I-DEF
that WDT I-NP I-DEF
describe VBP B-VP I-DEF
how WRB O I-DEF
the DT O I-DEF
classification NN O I-DEF
is VBZ B-VP I-DEF
to TO I-VP I-DEF
be VB I-VP I-DEF
done VBN I-VP I-DEF
. . O O

2 LS B-NP O
An DT I-NP O
Overview NNP I-NP O
of IN B-PP O
HowNet NNP B-NP O
HowNet NNP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
bilingual JJ I-NP I-DEF
general JJ I-NP I-DEF
knowledge-base NN I-NP I-DEF
describing VBG I-NP I-DEF
relations NNS I-NP I-DEF
between IN B-PP I-DEF
concepts NNS B-NP I-DEF
and CC I-NP I-DEF
relations NNS I-NP I-DEF
between IN B-PP I-DEF
the DT B-NP I-DEF
attributes NNS I-NP I-DEF
of IN B-PP I-DEF
concepts NNS B-NP I-DEF
. . O O

Definition NN B-NP O
3 CD I-NP O
: : O O
Boundary NNP B-NP B-TERM
tag NN I-NP I-TERM
denotes VBZ B-VP O
the DT B-NP B-DEF
possible JJ I-NP I-DEF
relative JJ I-NP I-DEF
position NN I-NP I-DEF
of IN B-PP I-DEF
a DT B-NP I-DEF
word NN I-NP I-DEF
to TO B-PP I-DEF
a DT B-NP I-DEF
base NN I-NP I-DEF
phrase NN I-NP I-DEF
. . O O

Concept NNP B-PP B-TERM
matching NN B-NP I-TERM
is VBZ B-VP O
a DT B-NP B-DEF
technique NN I-NP I-DEF
that WDT I-NP I-DEF
has VBZ B-VP I-DEF
been VBN I-VP I-DEF
used VBN I-VP I-DEF
in IN B-PP I-DEF
limited VBN B-NP I-DEF
domains NNS I-NP I-DEF
, , O O
like IN B-PP O
the DT B-NP O
legal JJ I-NP O
field NN I-NP O
were VBD B-VP O
conceptual JJ B-NP O
indexing NN I-NP O
has VBZ B-VP O
been VBN I-VP O
applied VBN I-VP O
by IN B-PP O
( NNP B-NP O
Stein NNP I-NP O
, , O O
1997 CD B-NP O
) : I-NP O
. . O O

Logic NNP B-NP B-TERM
is VBZ B-VP O
indeed VBN O O
an DT B-NP B-DEF
excellent NN I-NP I-DEF
way NN I-NP I-DEF
to TO B-VP I-DEF
think VB I-VP I-DEF
about IN B-PP I-DEF
representing VBG B-VP I-DEF
static JJ B-NP I-DEF
relationships NNS I-NP I-DEF
like IN B-PP I-DEF
database NN B-NP I-DEF
queries NNS I-NP I-DEF
, , O O
but CC O O
it PRP B-NP O
is VBZ B-VP O
much RB O O
less JJR O O
clear JJ O O
that IN O O
it PRP B-NP O
is VBZ B-VP O
a DT B-NP O
good JJ I-NP O
way NN I-NP O
to TO B-VP O
represent VB I-VP O
commands NNS B-NP O
. . O O

Topic NNP B-NP B-TERM
analysis NN I-NP I-TERM
consists VBZ B-VP B-DEF
of IN B-PP I-DEF
two CD B-NP I-DEF
main JJ I-NP I-DEF
tasks NNS I-NP I-DEF
: : O I-DEF
topic JJ B-NP I-DEF
identification NN I-NP I-DEF
and CC I-NP I-DEF
text NN I-NP I-DEF
segmentation NN I-NP I-DEF
( : B-VP O
based VBN I-VP O
on IN B-PP O
topic JJ B-NP O
changes NNS I-NP O
) : B-VP O
. . O O

Class NNP B-NP B-TERM
probability NN I-NP I-TERM
assignments NNS I-NP I-TERM
are VBP B-VP O
then RB I-VP O
estimated VBN I-VP B-DEF
using VBG I-VP I-DEF
statistics NNS B-NP I-DEF
computed VBN B-VP I-DEF
on IN B-PP I-DEF
the DT B-NP I-DEF
equivalence NN I-NP I-DEF
classes NNS I-NP I-DEF
. . O O

selection NN B-NP O
The DT I-NP O
task NN I-NP O
of IN B-PP O
parse NN B-NP B-TERM
selection NN I-NP I-TERM
involves VBZ B-VP O
selecting VBG I-VP B-DEF
the DT B-NP I-DEF
best JJS I-NP I-DEF
possible JJ I-NP I-DEF
parse NN I-NP I-DEF
for IN B-PP I-DEF
a DT B-NP I-DEF
sentence NN I-NP I-DEF
from IN B-PP I-DEF
a DT B-NP I-DEF
set NN I-NP I-DEF
of IN B-PP I-DEF
possible JJ B-NP I-DEF
parses NNS I-NP I-DEF
produced VBN B-VP I-DEF
by IN B-PP I-DEF
an DT B-NP I-DEF
AVG NNP I-NP I-DEF
. . O O

The DT B-NP B-DEF
heuristic JJ I-NP I-DEF
approximation NN I-NP I-DEF
of IN B-PP I-DEF
computationally RB B-NP I-DEF
expensive JJ I-NP I-DEF
pure NN I-NP I-DEF
MBL NNP I-NP I-DEF
variants NNS I-NP I-DEF
, , O O
( : B-NP O
IGTREE NNP I-NP B-TERM
) : I-NP O
, , O O
creates VBZ B-VP O
an DT B-NP O
oblivious JJ I-NP O
decision NN I-NP O
tree NN I-NP O
with IN B-PP O
features NNS B-NP O
as IN B-PP O
tests NNS B-NP O
, , O O
ordered VBN B-VP O
according VBG I-VP O
to TO B-PP O
information NN B-NP O
gain NN I-NP O
of IN B-PP O
features NNS B-NP O
. . O O

4. CD B-VP O
the DT B-NP B-TERM
principle NN I-NP I-TERM
of IN B-PP I-TERM
superiority NN B-NP I-TERM
: : O O
When WRB O B-DEF
matching VBG B-VP I-DEF
a DT B-NP I-DEF
pair NN I-NP I-DEF
of IN B-PP I-DEF
discourse NN B-NP I-DEF
markers NNS I-NP I-DEF
for IN B-PP I-DEF
a DT B-NP I-DEF
rhetorical JJ I-NP I-DEF
relation NN I-NP I-DEF
, , O I-DEF
priority NN B-NP I-DEF
is VBZ B-VP I-DEF
given VBN I-VP I-DEF
to TO B-PP I-DEF
the DT B-NP I-DEF
inter-sentence NN I-NP I-DEF
relation NN I-NP I-DEF
whose WP$ I-NP I-DEF
back RB I-NP I-DEF
discourse JJ I-NP I-DEF
marker NN I-NP I-DEF
matched VBN B-VP I-DEF
with IN B-PP I-DEF
the DT B-NP I-DEF
first JJ I-NP I-DEF
word NN I-NP I-DEF
of IN B-PP I-DEF
a DT O I-DEF
sentence NN O I-DEF
. . O O

The DT B-NP O
product NN I-NP O
f~w=~wTVk NN I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
projection NN I-NP I-DEF
of IN B-PP I-DEF
~T JJ B-NP I-DEF
into IN B-PP I-DEF
the DT B-NP I-DEF
k-dimensional JJ I-NP I-DEF
