-DOCSTART- -X- -X- O
answers NNS I-NP I-DEF
among IN B-PP I-DEF
the DT B-NP I-DEF
answers NNS I-NP I-DEF
proposed VBD B-VP I-DEF
by IN B-PP I-DEF
the DT B-NP I-DEF
system NN I-NP I-DEF
. . O O

where WRB O O
p NN B-NP B-TERM
( : B-VP I-TERM
i PRP B-NP I-TERM
) VBP I-NP I-TERM
is VBZ B-VP O
the DT B-NP B-DEF
position NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
web NN I-NP I-DEF
document NN I-NP I-DEF
in IN B-PP I-DEF
the DT B-NP I-DEF
ordered VBN I-NP I-DEF
list NN I-NP I-DEF
. . O O

SNePS NNS B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
semantic JJ I-NP I-DEF
network NN I-NP I-DEF
processing NN I-NP I-DEF
system NN I-NP I-DEF
( : I-NP O
Shapiro NNP I-NP O
and CC I-NP O
Rapaport NNP I-NP O
, , O O
1992 CD B-NP O
) : I-NP O
. . O O

Investigation NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
rich JJ I-NP I-DEF
source NN I-NP I-DEF
of IN B-PP I-DEF
occurrences NNS B-NP I-DEF
that WDT I-NP I-DEF
should MD B-VP I-DEF
not RB I-VP I-DEF
happen VB I-VP I-DEF
in IN B-PP I-DEF
civil NN B-NP I-DEF
aircraft NN I-NP I-DEF
WINDOW NNP I-NP I-DEF
, , O O
TURNING NNP B-NP O
THE NNP I-NP O
HANDLE NNP I-NP O
, , O O
PULL NNP B-NP O
, , O O
and CC O O
LET NNP B-NP O
operations NNS I-NP O
. . O O

The DT B-NP O
block-based JJ I-NP B-TERM
dependency NN I-NP I-TERM
parsing VBG I-NP I-TERM
strategy NN I-NP I-TERM
is VBZ B-VP O
a DT B-NP B-DEF
novel NN I-NP I-DEF
integration NN I-NP I-DEF
of IN B-PP I-DEF
phrase NN B-NP I-DEF
structure NN I-NP I-DEF
partial NN I-NP I-DEF
approach NN I-NP I-DEF
and CC I-NP I-DEF
dependency NN I-NP I-DEF
parsing VBG I-NP I-DEF
approach NN I-NP I-DEF
. . O O

The DT B-NP O
objective NN I-NP B-TERM
function NN I-NP I-TERM
is VBZ B-VP O
defined VBN I-VP O
as RB B-PP O
the DT B-NP B-DEF
sum NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
code NN I-NP I-DEF
length NN I-NP I-DEF
for IN B-PP I-DEF
the DT B-NP I-DEF
model NN I-NP I-DEF
( : I-NP I-DEF
`` `` I-NP I-DEF
model NN I-NP I-DEF
description NN I-NP I-DEF
length NN I-NP I-DEF
`` `` O I-DEF
) : O I-DEF
and CC O I-DEF
that IN B-PP I-DEF
for IN I-PP I-DEF
the DT B-NP I-DEF
data NNS I-NP I-DEF
( : O I-DEF
`` `` O I-DEF
data NNS B-NP I-DEF
description NN I-NP I-DEF
length NN I-NP I-DEF
`` `` O I-DEF
) : B-NP I-DEF
. . O O

In IN B-PP O
`` `` O O
Each DT B-NP O
patient NN I-NP O
is VBZ B-VP O
given VBN I-VP O
a DT B-NP O
high JJ I-NP O
severity NN I-NP O
rating NN I-NP O
'' '' I-NP O
, , O O
performing VBG B-VP O
universal NN B-NP O
quantification NN I-NP O
on IN B-PP O
the DT B-NP O
patients NNS I-NP O
( : I-NP O
ARG3 NNP I-NP B-TERM
) : I-NP O
is VBZ B-VP O
a DT B-NP B-DEF
separate JJ I-NP I-DEF
decision NN I-NP I-DEF
from IN B-PP I-DEF
the DT B-NP I-DEF
existential JJ I-NP I-DEF
quantification NN I-NP I-DEF
of IN B-PP I-DEF
the DT B-NP I-DEF
severity NN I-NP I-DEF
ratings NNS I-NP I-DEF
( : I-NP I-DEF
ARG2 NNP I-NP I-DEF
) : I-NP I-DEF
. . O O

An DT B-NP O
auxiliary JJ I-NP B-TERM
tree NN I-NP I-TERM
represents NNS B-VP O
a DT B-NP B-DEF
recursive JJ I-NP I-DEF
structure NN I-NP I-DEF
and CC O I-DEF
has VBZ B-VP I-DEF
a DT B-NP I-DEF
unique JJ I-NP I-DEF
leaf NN I-NP I-DEF
node NN I-NP I-DEF
, , O O
called VBN B-VP O
the DT B-NP O
foot NN I-NP B-TERM
node NN I-NP I-TERM
, , O O
which WDT B-NP O
has VBZ B-VP B-DEF
the DT B-NP I-DEF
same JJ I-NP I-DEF
syntactic JJ I-NP I-DEF
category NN I-NP I-DEF
as IN B-PP I-DEF
the DT B-NP I-DEF
root NN I-NP I-DEF
node NN I-NP I-DEF
. . O O

Artificial JJ B-NP B-TERM
neural JJ I-NP I-TERM
networks NNS I-NP I-TERM
are VBP B-VP O
a DT B-NP B-DEF
classification NN I-NP I-DEF
technique NN I-NP I-DEF
that WDT I-NP I-DEF
is VBZ B-VP I-DEF
robust MD O I-DEF
and CC O I-DEF
resistant VB O I-DEF
to TO B-PP I-DEF
noisy VB B-NP I-DEF
input NN I-NP I-DEF
, , O I-DEF
and CC O I-DEF
learns NNS B-VP I-DEF
to TO I-VP I-DEF
classify VB I-VP I-DEF
inputs NNS B-NP I-DEF
on IN B-PP I-DEF
the DT B-NP I-DEF
basis NN I-NP I-DEF
of IN B-PP I-DEF
training NN B-NP I-DEF
examples NNS I-NP I-DEF
, , O I-DEF
without IN B-PP I-DEF
specific JJ B-NP I-DEF
rules NNS I-NP I-DEF
that WDT I-NP I-DEF
describe VBP B-VP I-DEF
how WRB O I-DEF
the DT O I-DEF
classification NN O I-DEF
is VBZ B-VP I-DEF
to TO I-VP I-DEF
be VB I-VP I-DEF
done VBN I-VP I-DEF
. . O O

Logic NNP B-NP B-TERM
is VBZ B-VP O
indeed VBN O O
an DT B-NP B-DEF
excellent NN I-NP I-DEF
way NN I-NP I-DEF
to TO B-VP I-DEF
think VB I-VP I-DEF
about IN B-PP I-DEF
representing VBG B-VP I-DEF
static JJ B-NP I-DEF
relationships NNS I-NP I-DEF
like IN B-PP I-DEF
database NN B-NP I-DEF
queries NNS I-NP I-DEF
, , O O
but CC O O
it PRP B-NP O
is VBZ B-VP O
much RB O O
less JJR O O
clear JJ O O
that IN O O
it PRP B-NP O
is VBZ B-VP O
a DT B-NP O
good JJ I-NP O
way NN I-NP O
to TO B-VP O
represent VB I-VP O
commands NNS B-NP O
. . O O

EVIUS NNP B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
component NN I-NP I-DEF
of IN B-PP I-DEF
a DT B-NP I-DEF
multilingual JJ I-NP I-DEF
IE NNP I-NP I-DEF
system NN I-NP I-DEF
, , O O
MTURBIO NNP B-NP O
( NNP I-NP O
Turmo NNP I-NP O
et NN I-NP O
al NN I-NP O
. . O O
, , O O
1999 CD B-NP O
) : I-NP O
. . O O

Each DT B-NP O
definition NN I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-DEF
pair NN I-NP I-DEF
comprising VBG B-VP I-DEF
a DT B-NP I-DEF
phrase NN I-NP I-DEF
category NN I-NP I-DEF
name NN I-NP I-DEF
and CC O I-DEF
a DT B-NP I-DEF
network NN I-NP I-DEF
of IN B-PP I-DEF
word NN B-NP I-DEF
categories NNS I-NP I-DEF
. . O O

Topic NNP B-NP B-TERM
analysis NN I-NP I-TERM
consists VBZ B-VP B-DEF
of IN B-PP I-DEF
two CD B-NP I-DEF
main JJ I-NP I-DEF
tasks NNS I-NP I-DEF
: : O I-DEF
topic JJ B-NP I-DEF
identification NN I-NP I-DEF
and CC I-NP I-DEF
text NN I-NP I-DEF
segmentation NN I-NP I-DEF
( : B-VP O
based VBN I-VP O
on IN B-PP O
topic JJ B-NP O
changes NNS I-NP O
) : B-VP O
. . O O

Class NNP B-NP B-TERM
probability NN I-NP I-TERM
assignments NNS I-NP I-TERM
are VBP B-VP O
then RB I-VP O
estimated VBN I-VP B-DEF
using VBG I-VP I-DEF
statistics NNS B-NP I-DEF
computed VBN B-VP I-DEF
on IN B-PP I-DEF
the DT B-NP I-DEF
equivalence NN I-NP I-DEF
classes NNS I-NP I-DEF
. . O O

The DT B-NP O
model NN I-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
probability NN I-NP I-DEF
distribution NN I-NP I-DEF
P NNP I-NP I-DEF
( NNP I-NP I-DEF
nk NN I-NP I-DEF
) : I-NP I-DEF
= : O I-DEF
P NNP B-NP I-DEF
( : I-NP I-DEF
nklck NN I-NP I-DEF
) : I-NP I-DEF
, , O O
where WRB O O
nk NN B-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
number NN I-NP I-DEF
of IN B-PP I-DEF
attributes NNS B-NP I-DEF
and CC O O
Ck NNP B-NP B-TERM
is VBZ B-VP O
the DT B-NP B-DEF
utterance NN I-NP I-DEF
class NN I-NP I-DEF
for IN B-PP I-DEF
system NN B-NP I-DEF
utte~anee NN I-NP I-DEF
k NN I-NP I-DEF
. . O O
1.2.2 CD O O
The DT O O
bigram NN O O
model NN O O
of IN B-PP O
the DT O O
attributes NNS O O
This DT O O
model NN O O
will MD B-VP O
predict VB I-VP O
which WDT O O
attributes NNS B-VP O
to TO I-VP O
use VB I-VP O
in IN B-PP O
a DT O O
system NN O O
utterance NN O O
. . O O

The DT B-NP B-DEF
heuristic JJ I-NP I-DEF
approximation NN I-NP I-DEF
of IN B-PP I-DEF
computationally RB B-NP I-DEF
expensive JJ I-NP I-DEF
pure NN I-NP I-DEF
MBL NNP I-NP I-DEF
variants NNS I-NP I-DEF
, , O O
( : B-NP O
IGTREE NNP I-NP B-TERM
