-DOCSTART- -X- -X- O
is VBZ B-VP O
a DT B-NP B-GENUS
musical NN I-NP I-GENUS
instrument NN B-NP B-HYPER
of IN B-PP O
the DT I-PP O
hand-held JJ I-PP O
bellows-driven JJ I-PP O
free-reed NN I-PP O
aerophone NN I-PP O
family NN I-PP O
, , O O
RB ADVP O O
referred VVD B-VP O
to TO B-PP O
as IN I-PP O
a DT I-PP O
squeezebox NN I-PP O
. . O O

In IN I-PP O
a DT I-PP O
computer NN I-PP O
's POS I-PP O
central JJ B-NP O
processing NN I-NP O
unit NN I-NP O
( ( O O
CPU NP B-NP O
) ) O O
, , O O
an DT B-NP O
Accumulator NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
register NN B-NP B-HYPER
in IN B-PP O
which WDT I-PP O
intermediate JJ B-NP O
arithmetic NN I-NP O
and CC I-NP O
logic NN I-NP O
results NNS I-NP O
are VBP B-VP O
stored VVN I-VP O
. . O O

The DT B-NP O
Achaeans NP I-NP B-TERM
( ( O O
in IN B-PP O
Greek JJ I-PP O
Ἀχαιοί NN I-PP O
, , O O
Akhaioi NP B-NP O
) ) O O
is VBZ B-VP O
one CD B-NP O
of IN B-PP O
the DT I-PP O
collective NN I-PP O
names NNS B-NP O
used VVN B-VP O
for IN B-PP O
the DT B-PP B-GENUS
Greeks NPS B-PP B-HYPER
in IN B-PP O
Homer NP I-PP O
's POS I-PP O
Iliad NN B-NP O
( ( O O
used VVN B-VP O
598 CD B-NP O
times NNS I-NP O
) ) O O
and CC O O
Odyssey NP B-NP O
. . O O

Actinistia NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP O
subclass NN I-NP O
of IN B-PP O
mostly RB B-PP B-GENUS
fossil JJ I-PP I-GENUS
lobe-finned NN B-PP B-HYPER
fishes NNS I-PP I-HYPER
. . O O

Actinobacteridae NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP O
subclass NN I-NP O
of IN B-PP O
bacteria NNS B-PP B-HYPER
, , O O
in IN B-PP O
the DT I-PP O
class NN I-PP O
of IN I-PP O
Actinobacteria NP I-PP O
. . O O

The DT B-NP O
Actinopterygii NP I-NP B-TERM
( ( O O
the DT B-NP O
plural JJ I-NP O
form NN I-NP O
of IN B-PP O
Actinopterygius NP I-PP O
) ) O O
comprise VVP B-VP O
the DT B-NP O
class NN I-NP O
of IN B-PP O
the DT B-PP B-GENUS
ray-finned NN I-PP I-GENUS
fishes NNS B-NP B-HYPER
. . O O

An DT B-NP O
Actor NP I-NP B-TERM
, , I-NP O
actress NN I-NP O
, , I-NP O
player NN I-NP O
or CC I-NP O
rarely RB I-NP O
thespian NN I-NP O
( ( O O
see VV B-VP O
terminology NN B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
person NN B-NP B-HYPER
who WP B-NP O
acts VVZ B-VP O
in IN B-PP O
a DT I-PP O
dramatic JJ I-PP O
production NN I-PP O
and CC O O
who WP B-NP O
works VVZ B-VP O
in IN O O
film NN B-NP O
, , O O
television NN B-NP O
, , O O
theatre NN B-NP O
, , O O
or CC O O
radio NN B-NP O
in IN B-PP O
that DT I-PP O
capacity NN I-PP O
. . O O

In IN I-PP O
medical JJ I-PP O
terminology NN I-PP O
, , O O
Addiction NP B-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
state NN B-NP B-HYPER
in IN B-PP O
which WDT I-PP O
the DT B-NP O
body NN I-NP O
relies VVZ B-VP O
on IN B-PP O
a DT I-PP O
substance NN I-PP O
for IN I-PP O
normal JJ I-PP O
functioning NN I-PP O
and CC O O
develops VVZ B-VP O
physical JJ B-NP O
dependence NN I-NP O
. . O O

Adidas-Predator NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP O
range NN I-NP O
of IN B-PP O
football NN B-PP B-HYPER
boots NNS I-PP I-HYPER
developed VVN B-VP O
by IN B-PP O
German JJ I-PP O
sportswear NN I-PP O
manufacturers NNS I-PP O
Adidas NP B-NP O
. . O O

The DT I-NP O
Admiralty NP I-NP B-TERM
was VBD B-VP O
RB ADVP O O
the DT B-NP B-GENUS
authority NN B-NP B-HYPER
in IN B-PP O
the DT I-PP O
United NP B-NP O
Kingdom NP I-NP O
JJ ADJP O O
for IN B-PP O
the DT I-PP O
command NN I-PP O
of IN I-PP O
the DT I-PP O
Royal NP I-PP O
Navy NP I-PP O
. . O O

In IN I-PP O
Greek JJ I-PP O
mythology NN I-PP O
, , O O
Aegisthus NP B-NP B-TERM
( ( O O
Ancient NP B-NP O
Greek NP I-NP O
: : O O
Αἴγισθος NN B-NP O
, , O O
" `` B-NP O
goat NN I-NP O
strength NN I-NP O
" '' O O
- : O O
RB ADVP O O
transliterated VVN B-VP O
as IN B-PP O
Aegisthos NP I-PP O
) ) O O
was VBD B-VP O
the DT B-NP B-GENUS
son NN B-NP B-HYPER
of IN B-PP O
Thyestes NP I-PP O
and CC O O
of IN B-PP O
his PP$ I-PP O
daughter NN I-PP O
, , O O
Pelopia NP B-NP O
. SENT O O
. . O O

In IN B-PP O
Greco-Roman NN I-PP O
mythology NN I-PP O
, , O O
Aeneas NP B-NP B-TERM
( ( O O
Greek NP B-NP O
: : O O
Αἰνείας NN B-NP O
, , O O
Aineías NP B-NP O
; : O O
/ɪˈniːəs/ NNS B-NP O
in IN B-PP O
English NP I-PP O
) ) O O
was VBD B-VP O
a DT B-NP B-GENUS
Trojan NP I-NP I-GENUS
hero NN B-NP B-HYPER
, , O O
the DT B-NP O
son NN I-NP O
of IN B-PP O
prince NN I-PP O
Anchises NNS I-PP O
and CC O O
the DT B-NP O
goddess NN I-NP O
Aphrodite NP I-NP O
( ( O O
Venus NP B-NP O
in IN B-PP O
Roman NP I-PP O
sources NNS I-PP O
) ) O O
. . O O

Aeolus NN B-NP B-TERM
( ( O O
Αἴολος NN B-NP O
) ) O O
was VBD B-VP O
the DT B-NP B-GENUS
ruler NN B-NP B-HYPER
of IN B-PP O
the DT I-PP O
winds NNS I-PP O
in IN B-PP O
Greek JJ I-PP O
Mythology NN I-PP O
. . O O

An DT B-NP O
Affidavit NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
formal JJ I-NP I-GENUS
sworn VVN B-VP I-GENUS
statement NN B-NP B-HYPER
of IN B-PP O
fact NN I-PP O
, , O O
signed VVN B-VP O
by IN B-PP O
the DT I-PP O
declarant NN I-PP O
( ( O O
who WP B-NP O
is VBZ B-VP O
called VVN I-VP O
the DT B-NP O
affiant NN I-NP O
or CC I-NP O
deponent NN I-NP O
) ) O O
and CC O O
witnessed VVN B-VP O
( ( O O
as IN B-PP O
to TO I-PP O
the DT I-PP O
veracity NN I-PP O
of IN I-PP O
the DT I-PP O
affiant NN I-PP O
's POS I-PP O
signature NN B-NP O
) ) O O
by IN B-PP O
a DT I-PP O
taker NN I-PP O
of IN I-PP O
oaths NNS I-PP O
, , O O
JJ ADJP O O
as IN B-PP O
a DT I-PP O
notary NN I-PP O
public NN I-PP O
. . O O

An DT B-NP O
Affix NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
morpheme NN B-NP B-HYPER
that WDT B-NP O
is VBZ B-VP O
attached VVN I-VP O
to TO B-PP O
a DT I-PP O
stem NN I-PP O
to TO B-VP O
form VV I-VP O
a DT B-NP O
word NN I-NP O
. . O O

An DT I-NP O
Afterglow NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP B-GENUS
broad JJ I-NP I-GENUS
high NN I-NP I-GENUS
arch NN B-NP B-HYPER
of IN B-PP O
JJ ADJP O O
or CC B-VP O
rosy JJ B-NP O
light NN I-NP O
appearing VVG B-VP O
in IN B-PP O
the DT I-PP O
sky NN I-PP O
JJ ADJP O O
to TO B-PP O
very RB I-PP O
fine JJ I-PP O
particles NNS I-PP O
of IN I-PP O
dust NN I-PP O
suspended VVN B-VP O
in IN B-PP O
the DT I-PP O
high JJ I-PP O
regions NNS I-PP O
of IN I-PP O
the DT I-PP O
atmosphere NN I-PP O
. . O O

Agaricomycetidae NN B-NP B-TERM
is VBZ B-VP O
a DT B-NP O
subclass NN I-NP O
of IN B-PP O
mushrooms NNS B-PP B-HYPER
, , O O
in IN B-PP O
the DT I-PP O
phylum NN I-PP O
of IN I-PP O
Basidiomycota NP I-PP O
. . O O

Agate NN B-NP B-TERM
( ( O O
/ˈæɡət/ NN B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP O
microcrystalline JJ I-NP O
variety NN I-NP O
of IN B-PP O
quartz NN B-NP B-HYPER
( ( O O
silica NN B-NP B-HYPER
) ) B-NP O
, , O O
RB ADVP O O
chalcedony NN B-NP O
, , O O
characterised VVN B-VP O
by IN B-PP O
its PP$ I-PP O
fineness NN I-PP O
of IN I-PP O
grain NN I-PP O
and CC I-PP O
brightness NN I-PP O
of IN I-PP O
color NN I-PP O
. . O O

Agathon NN B-NP B-TERM
( ( O O
Ἀγάθων NP B-NP O
) ) O O
( ( B-NP O
ca MD B-VP O
. SENT O O
448 CD B-NP O
- : O O
400 CD B-NP O
BC NP I-NP O
) ) O O
was VBD B-VP O
an DT B-NP B-GENUS
Athenian JJ I-NP I-GENUS
JJ ADJP O I-GENUS
poet NN B-NP B-HYPER
and CC B-NP O
friend NN B-NP B-HYPER
of IN B-PP O
Euripides NP I-PP O
and CC I-PP O
Plato NP I-PP O
. . O O

In IN I-PP O
traditional JJ I-PP O
cultures NNS I-PP O
, , O O
Air NP B-NP B-TERM
is VBZ B-VP O
often RB I-VP O
seen VVN I-VP O
as IN B-PP O
a DT B-PP B-GENUS
universal JJ I-PP I-GENUS
power NN B-PP B-HYPER
or CC O O
JJ ADJP O O
substance NN B-NP B-HYPER
. . O O

Ajax NN B-NP B-TERM
or CC I-NP O
Aias NP I-NP O
( ( O O
Greek NP B-NP O
: : O O
Αἴας NP B-NP O
) ) O O
was VBD B-VP O
a DT B-NP B-GENUS
mythological JJ I-NP I-GENUS
Greek NP I-NP I-GENUS
hero NN B-NP B-HYPER
, , O O
the DT B-NP O
son NN I-NP O
of IN B-PP O
Telamon NP I-PP O
and CC O O
Periboea NN B-NP O
and CC I-NP O
king NN I-NP O
of IN B-PP O
Salamis NP I-PP O
. . O O

Ajmer NN B-NP B-TERM
( ( I-NP O
JJ ADJP O O
: : O O
अजमेर NN B-NP O
/ədʒmeːr/ NN I-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
city NN B-NP B-HYPER
in IN B-PP O
Ajmer NP I-PP O
District NP I-PP O
in IN I-PP O
India NP I-PP O
's POS I-PP O
Rajasthan NP B-NP O
state NN I-NP O
. . O O

The DT B-NP O
Albedo NN I-NP B-TERM
of IN B-PP O
an DT I-PP O
object NN I-PP O
is VBZ B-VP O
the DT B-NP B-GENUS
extent NN B-NP B-HYPER
to TO B-PP O
which WDT I-PP O
it PP B-NP O
RB ADVP O O
reflects VVZ B-VP O
light NN B-NP O
from IN B-PP O
the DT I-PP O
sun NN I-PP O
. . O O

As IN I-PP O
a DT I-PP O
tyrannosaurid NN I-PP O
, , O O
Albertosaurus NP B-NP B-TERM
was VBD B-VP O
a DT B-NP B-GENUS
bipedal NN I-NP I-GENUS
predator NN B-NP B-HYPER
with IN B-PP O
tiny JJ I-PP O
, , I-PP O
two-fingered JJ I-PP O
hands NNS I-PP O
and CC O O
a DT B-NP O
massive JJ I-NP O
head NN I-NP O
with IN B-PP O
dozens NNS I-PP O
of IN I-PP O
large JJ I-PP O
, , I-PP O
sharp JJ I-PP O
teeth NNS I-PP O
. . O O

In IN I-PP O
the DT I-PP O
history NN I-PP O
of IN I-PP O
science NN I-PP O
, , O O
Alchemy NP B-NP B-TERM
( ( O O
from IN B-PP O
the DT I-PP O
Arabic NP I-PP O
الخيمياء NP I-PP O
al-khīmiyā' NP I-PP O
' POS I-PP O
) ) I-PP O
refers VVZ B-VP O
to TO I-VP O
both CC O O
an DT B-NP O
early JJ I-NP O
form NN I-NP O
of IN B-PP O
the NP B-PP B-GENUS
investigation NN B-NP B-HYPER
of IN B-PP O
nature NN I-PP O
and CC O O
an DT B-NP O
early JJ I-NP O
philosophical JJ I-NP O
and CC O O
JJ ADJP O O
discipline NN B-NP B-HYPER
, , O O
both CC O O
combining VVG B-VP O
elements NNS B-NP O
of IN B-PP O
chemistry NN I-PP O
, , I-PP O
metallurgy NN I-PP O
, , I-PP O
physics NNS I-PP O
, , I-PP O
medicine NN I-PP O
, , I-PP O
astrology NN I-PP O
, , I-PP O
semiotics NNS I-PP O
, , I-PP O
mysticism NN I-PP O
, , I-PP O
spiritualism NN I-PP O
, , I-PP O
and CC I-PP O
art NN I-PP O
RB ADVP O O
as IN B-PP O
parts NNS I-PP O
of IN I-PP O
one CD I-PP O
greater JJR I-PP O
force NN I-PP O
. . O O

An DT I-NP O
Alexandrine NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP O
line NN I-NP O
of IN B-PP O
JJ ADJP O B-GENUS
meter NN B-NP B-HYPER
. . O O

The DT B-NP O
Alexandrists NP I-NP B-TERM
were VBD B-VP O
a DT B-NP B-GENUS
school NN B-NP B-HYPER
of IN B-PP O
Renaissance NP I-PP O
philosophers NNS I-PP O
who WP B-NP O
, , O O
in IN B-PP O
the DT I-PP O
great JJ I-PP O
controversy NN I-PP O
on IN I-PP O
the DT I-PP O
subject NN I-PP O
of IN I-PP O
personal JJ I-PP O
immortality NN I-PP O
, , O O
adopted VVD B-VP O
the DT B-NP O
explanation NN I-NP O
of IN B-PP O
the DT I-PP O
De NP I-PP O
Anima NP I-PP O
given VVN B-VP O
by IN B-PP O
Alexander NP I-PP O
of IN I-PP O
Aphrodisias NP I-PP O
. . O O

In IN I-PP O
mathematics NN I-PP O
, , I-PP O
computing NN I-PP O
, , I-PP O
linguistics NNS I-PP O
and CC I-PP O
related JJ I-PP O
disciplines NNS I-PP O
, , O O
an DT B-NP O
Algorithm NP I-NP B-TERM
is VBZ B-VP O
a DT B-NP O
sequence NN I-NP O
of IN B-PP O
instructions NNS B-NP B-HYPER
, , O O
RB ADVP O O
used VVN B-VP O
for IN B-PP O
calculation NN I-PP O
and CC I-PP O
data NN I-PP O
processing NN I-PP O
. . O O

In IN I-PP O
chemistry NN I-PP O
, , O O
an DT B-NP O
Alkali NP I-NP B-TERM
( ( O O
from IN B-PP O
Arabic NP I-PP O
: : O O
Al-Qaly NP B-NP O
القالي NP I-NP O
, , O O
القلي NP B-NP O
) ) O O
is VBZ B-VP O
a DT B-NP B-GENUS
basic JJ I-NP I-GENUS
, , O I-GENUS
JJ ADJP O I-GENUS
salt NN B-NP B-HYPER
of IN B-PP O
an DT I-PP O
alkali NN I-PP O
metal NN I-PP O
or CC O O
alkaline JJ B-NP O
earth NN I-NP O
metal NN I-NP O
element NN I-NP O
. . O O

In IN B-PP O
organic JJ I-PP O
chemistry NN I-PP O
, , O O
an DT B-NP O
Alkene NP I-NP B-TERM
, , I-NP O
olefin NN I-NP O
, , O O
or CC O O
olefine NN B-NP O
is VBZ B-VP O
an DT B-NP B-GENUS
JJ ADJP O I-GENUS
chemical NN B-NP B-HYPER
compound NN I-NP I-HYPER
containing VVG B-VP O
at IN B-PP O
